	DRR127476	DRR127478	DRR127485	DRR127488	DRR127491	DRR127507	DRR127514	DRR127517	DRR127519	DRR127521	DRR127524	DRR127532	DRR127535	DRR127536	DRR127537	DRR127546	DRR127552	DRR127557	DRR127559	DRR127567	DRR127579	DRR127583	DRR127588	DRR127594	DRR127596	DRR127597	DRR127603	DRR127613	DRR127617	DRR127625	DRR127634	DRR127646	DRR127647	DRR127649	DRR127666	DRR127669	DRR127672	DRR127685	DRR127704	DRR127707	DRR127718	DRR127720	DRR127724	DRR127728	DRR127731	DRR127736	DRR127737	DRR127748	DRR127751	DRR127752	DRR127774	DRR162775	DRR162776	DRR162777
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	48	0	0	0	28	0	0	0	0	17	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	1437	0	53372	15	0	0	37	27	0	15	1891	1645	0	0	0	0	0	77	0	55	0	0	0	0	0	5447	1220	0	0	0	0	1738	10	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	66	12	10	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	38	0	1220	0	0	0	0	0	0	0	48	76	0	0	0	0	0	0	0	0	0	0	0	0	0	126	31	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	37	363	414	34	43	112	0	228	300	443	50	102	15	2193	2289	724	0	209	319	0	12	31	1513	897	54	76	12	0	46	670	941	68	2178	914	314	24	722	225	488	753	275	1612	121	8333	2594	1372	285	92	0	4238	845	437	0	584
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	22	251	311	16	54	0	493	0	0	0	79	95	0	488	0	588	0	95	748	0	0	0	0	64	67	109	26	35	0	0	692	0	966	77	21	0	358	0	0	1580	0	446	1706	10	0	563	199	652	0	3001	64	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	29	39	46	0	21	22	0	22	0	0	0	61	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	103	0	0	0	0	0	0	0	0	0	140	22	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	0	0	469	1280	11	202	68	201	464	219	888	130	83	0	0	0	0	0	0	1315	0	119	0	17	0	0	0	254	18	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	2674	0	85	0	4482	0	245	0	0	407
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	44	0	0	0	0	0	0	0	0	0	313	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	0	0	0	0	61	0	0	0	0	27	15	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	13	0	0	0	129	0	0	13	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__Methanomethylophilus|s__Methanomethylophilus_alvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	0	1227	388	0	3633	0	0	0	3011	19	0	0	0	18	0	6469	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	27	14	0	0	14	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	369	419	169	0	159	149	3361	216	780	146	30	2395	67	1793	1600	76	74	0	29	2396	0	0	414	901	519	0	270	59	167	158	437	0	779	125	107	1482	114	1517	102	1881	0	73	283	304	233	0	49	266	1452	335	60	133	181	563
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	104	117	202	25	56	135	1261	32	302	214	35	283	25	971	689	148	60	0	0	448	45	0	101	639	1093	43	124	32	73	19	258	29	0	22	265	668	13	2680	30	997	46	0	150	402	123	23	198	278	1195	305	54	0	38	547
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	73	44	17	0	0	16	95	0	0	0	0	10	0	140	0	44	0	0	0	130	0	10	19	153	888	0	23	23	0	0	21	0	13	0	0	534	12	2764	36	242	11	0	17	66	0	0	26	0	156	115	0	0	11	34
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	0	11	0	0	10	0	66	20	59	10	0	82	0	26	29	0	21	0	0	56	0	0	15	11	59	0	16	0	0	0	63	0	0	0	0	29	0	58	0	70	0	0	13	12	0	12	0	12	109	13	0	0	0	103
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__Arcanobacterium_A_urinimassiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	0	0	342	0	0	0	16	176	0	0	0	0	476	0	7286	0	342	0	0	141	0	0	343	74	0	0	0	0	0	150	701	412	125	760	63	162	0	25	0	0	0	0	0	0	96	762	0	1310	7712	0	32	0	0	891
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	176	111	47	63	45	186	668	66	231	81	43	170	0	285	144	23	0	43	16	180	25	14	73	18	358	0	17	21	17	26	40	0	147	16	26	300	0	781	41	108	0	20	44	261	28	10	0	112	385	23	80	25	15	173
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	17	0	13	218	47	0	47	21	130	224	95	38	0	2529	378	151	0	24	0	6701	24	340	70	0	10	0	84	0	84	23	14	0	3173	16	27	126	129	14	167	80	0	16	0	184	102	20	0	707	344	0	0	0	11	72
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	0	0	21	0	70	15	263	0	19	13	17	89	14	14	142	0	11	0	0	818	22	0	0	11	0	0	0	20	0	0	29	0	0	0	0	0	0	197	0	1642	0	0	0	43	44	99	54	57	533	26	0	0	0	0
