	ERR1018185	ERR1018186	ERR1018187	ERR1018188	ERR1018189	ERR1018190	ERR1018191	ERR1018192	ERR1018193	ERR1018194	ERR1018195	ERR1018196	ERR1018197	ERR1018198	ERR1018199	ERR1018200	ERR1018201	ERR1018202	ERR1018203	ERR1018204	ERR1018205	ERR1018206	ERR1018207	ERR1018208	ERR1018209	ERR1018210	ERR1018211	ERR1018212	ERR1018213	ERR1018214	ERR1018215	ERR1018216	ERR1018217	ERR1018218	ERR1018219	ERR1018220	ERR1018221	ERR1018222	ERR1018223	ERR1018224	ERR1018225	ERR1018226	ERR1018227	ERR1018228	ERR1018229	ERR1018230	ERR1018231	ERR1018232	ERR1018233	ERR1018234	ERR1018235	ERR1018236	ERR1018237	ERR1018238	ERR1018239	ERR1018240	ERR1018241	ERR1018242	ERR1018243	ERR1018244	ERR1018245	ERR1018246	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018292	ERR1018293	ERR1018294	ERR1018295	ERR1018296	ERR1018297	ERR1018298	ERR1018299	ERR1018300	ERR1018301	ERR1018302	ERR1018303	ERR1018304	ERR1018305	ERR1018306	ERR1018307	ERR1018308	ERR1018309	ERR1018310	ERR1018311	ERR1018312
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	29	0	496	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	1874	0	1444869	358	0	198	168	0	330	324	0	182763	2484	10	0	1353	11	1598	0	16	0	0	0	69	0	0	146	1052	168	0	13	17	0	102	69	56	11	154833	0	0	9349	82	19	77344	18	21	0	21	55	40	31045	16	0	0	52	16094	17	428	0	717	53	5260	71	112	549	2682	0	0	13	0	28255	19326	0	11	0	0	0	0	29	112	0	20	0	0	0	0	63	69980	0	0	19	0	0	35	411	0	99	1912	67	379	139941	378	92	65	1554	74	217014	78	0	0	0	410	0	15	0	549	0	0	0	51	698	0	5174	0	11	0	0	297
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	67	0	53787	0	0	0	0	0	0	0	0	7105	96	0	0	46	0	55	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	3728	0	0	322	0	0	2164	0	0	0	0	0	0	908	0	0	0	0	508	0	0	0	16	0	153	0	0	19	97	0	0	0	0	709	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2318	0	0	0	0	0	0	0	0	0	51	0	0	3996	0	0	0	49	0	5653	0	0	0	0	0	0	0	0	17	0	0	0	0	10	0	63	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	90049	161	474	295	536	10494	195	3114	3833	684	10	71	168	116	8688	636	7826	1025	1729	1037	394	1312	223	47	409	853	99	368	1394	4433	762	2429	0	364	19422	872	2152	793	1100	0	78	18	1384	915	222	398	363	216	1205	0	283	308	0	437	203	1919	6188	97	0	5490	0	2076	469	839	1473	63	117	54	0	109	542	406	637	164	220	0	319	290	3663	257	853	431	147	241	135	0	59	1415	504	418	359	7676	380	432	0	836	1537	640	247	42	272	76	142	659	254	447	59	0	27	342	123	70	1079	142618	3961	779	456	610	334	156	26	0	96	51	109	597	474	113
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	423	0	33	314	0	0	260	2623	1324	140	4273	295	16	0	2831	330	12	2905	1089	783	2328	1107	0	111	17	0	66	0	57	0	45	0	0	54	0	265	0	305	11	0	0	0	1506	36	0	129	45	139	124	0	202	751	0	0	90	69	3796	0	0	1491	137	507	0	152	0	0	0	564	0	111	0	419	231	0	0	0	390	91	1045	12	0	1033	464	238398	43	0	94	59	0	611	219	1943	76	48	0	0	389	0	0	0	1327	0	368	0	0	718	0	1675	0	33	14	55	1465	21	2489	2906	264	2571	0	3680	55	0	0	38	54	0	0	112
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	15	40	0	0	34	0	49	0	23	0	38	15	24	80	0	0	0	79	0	47	0	62	0	0	73	0	31	10	568	30	555	40	435	52	0	14	23	15	79	0	629	67	58	65	106	18	23	351	193	72	148	86	0	174	179	27	0	57	95	0	131	24	63	97	27	64	82	53	29	62	58	44	54	0	23	38	185	61	350	81	27	144	75	101	171	0	25	45	0	168	139	46	178	301	0	83	23	0	0	0	41	104	117	0	0	0	13	0	44	0	0	0	21	0	0	0	0	57	12	0	58	13	23	151	87	2746	57	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	527	0	9479	1197	386	0	0	0	24	0	0	205	97	38	0	0	0	141	0	0	2382	0	30	0	0	0	206	21	0	777	68	75	0	0	0	213	0	1470	1995	0	829	0	27	585	0	32	27	537	28	296	3119	0	0	350	0	0	114	0	0	0	3675	2821	0	208	0	0	0	13	51	369	0	3265	984	46	3003	0	1484	8725	11469	0	1164	1696	2043	1197	0	2527	29	337	0	500	184	1245	133	0	0	81	0	0	0	174	1057	1818	0	291	0	281	258	8240	0	60	0	77	806	185	82	188	62	2838	152	0	21	24	0	0	181	110	317	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	163	0	0	0	0	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	0	15	0	11	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	20	0	30	0	0	12	0	15	0	0	0	30	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	22	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
