	ERR1912946	ERR1912949	ERR1912953	ERR1912957	ERR1912958	ERR1912961	ERR1912964	ERR1912967	ERR1912971	ERR1912972	ERR1912976	ERR1912979	ERR1912983	ERR1912986	ERR1912989	ERR1912990	ERR1912991	ERR1912994	ERR1912997	ERR1912998	ERR1913002	ERR1913006	ERR1913007	ERR1913010	ERR1913014	ERR1913017	ERR1913021	ERR1913025	ERR1913029	ERR1913032	ERR1913036	ERR1913037	ERR1913040	ERR1913044	ERR1913047	ERR1913050	ERR1913054	ERR1913057	ERR1913060	ERR1913063	ERR1913064	ERR1913069	ERR1913073	ERR1913076	ERR1913080	ERR1913084	ERR1913088	ERR1913092	ERR1913096	ERR1913100	ERR1913104	ERR1913108	ERR1913111	ERR1913115	ERR1913116	ERR1913119	ERR1913122	ERR1913126	ERR1913127
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A_oralis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A_smithii"	6524	0	18845	723	0	5295	81	62704	0	1878	5742	185	2111	539	53645	17	1951	4094	0	137	1625	0	10	0	0	413	638	51261	42426	0	3856	27	0	28	495	27234	9350	307	0	0	96144	0	0	38	0	442	5364	0	0	0	15591	58	30096	0	172	96	3472	1011	16
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A_smithii_A"	181	0	738	18	0	157	1612	2246	0	22191	164	0	39	0	2782	612	65	91	0	2288	46	0	0	0	0	5144	9988	1596	1754	0	156	584	0	0	10	555	442	11	0	0	2069	0	0	0	0	11	182	0	0	0	668	0	968	0	0	3375	153	15	0
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A_sp900766745"	331	120	400	13	489	256	0	284	246	353	91	67	0	39	447	109	165	15	342	0	61	1241	1159	0	1703	30	105	86	93	47	134	25	47	286	30	585	133	0	173	33	24	0	223	160	57	72	121	81	68	25	26	124	43	691	144	225	289	95	473
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A_woesei"	49	0	41	0	21	183	0	71	0	0	19	0	0	0	24	14	38	0	0	0	10	280	555	69	379	0	231	0	30	0	150	0	16	0	0	335	0	0	0	0	11	156	59	264	174	0	0	41	589	22	0	0	30	0	36	0	788	0	267
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_cuniculi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	23	11	0	0	0	0	0	0	11	0	0	0	0	16	0	0	37	0	0	0	0	16	0	0	0	0	0	0	0	0	0	15	0	0
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_sp900322125"	0	0	486	68	23	56	0	0	0	0	466	19	14	0	804	0	35	134	0	225	0	216	44	281	0	149	0	116	1716	0	581	0	235	0	71	101	0	0	0	0	0	0	15	343	698	0	67	0	0	0	224	0	42	0	101	85	0	0	583
"k__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	504	0	0	0	0	0	0	0	0	261	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__MGYG000000897"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus_A;s__MGYG000004312"	0	0	0	0	0	0	0	0	0	0	0	29	0	14	0	0	12	0	0	31	0	0	41	0	0	25	0	0	0	0	0	0	17	0	0	0	0	0	0	0	49	465	0	0	0	0	138	18	0	37	21	0	0	0	13	19	0	32	0
