	ERR2855786	ERR2855787	ERR2855788	ERR2855789	ERR2855790	ERR2855791	ERR2855792	ERR2855793	ERR2855796	ERR2855797	ERR2855798	ERR2855799	ERR2855801	ERR2855802	ERR2855803	ERR2855804	ERR2855805	ERR2855806	ERR2855807	ERR2855808	ERR2855809	ERR2855811	ERR2855812	ERR2855813	ERR2855816	ERR2855817	ERR2855818	ERR2855819	ERR2855821	ERR2855822	ERR2855823	ERR2855824	ERR2855825	ERR2855827	ERR2855829	ERR2855831	ERR2855832	ERR2855833	ERR2855834	ERR2855835	ERR2855836	ERR2855837	ERR2855838	ERR2855839	ERR2855840	ERR2855842	ERR2855843	ERR2855846	ERR2855847	ERR2855848	ERR2855849	ERR2855851	ERR2855853	ERR2855856	ERR2855857	ERR2855859	ERR2855860	ERR2855861	ERR2855862	ERR2855865	ERR2855866	ERR2855867	ERR2855868	ERR2855870	ERR2855871	ERR2855872	ERR2855874	ERR2855877	ERR2855878	ERR2855879	ERR2855881	ERR2855884	ERR2855885	ERR2855886	ERR2855887	ERR2855888	ERR2855889	ERR2855890	ERR2855891	ERR2855892	ERR2855893	ERR2855894	ERR2855896	ERR2855897	ERR2855901	ERR2855902	ERR2855903	ERR2855905	ERR2855906	ERR2855907	ERR2855908	ERR2855909	ERR2855910	ERR2855911	ERR2855912	ERR2855913	ERR2855914	ERR2855915	ERR2855916	ERR2855917	ERR2855919	ERR2855921	ERR2855923	ERR2855925	ERR2855927	ERR2855929	ERR2855931	ERR2855932	ERR2855933	ERR2855934	ERR2855935	ERR2855936	ERR2855938	ERR2855939	ERR2855940	ERR2855941	ERR2855942	ERR2855943	ERR2855944	ERR2855945	ERR2855946	ERR2855948	ERR2855949	ERR2855950	ERR2855951	ERR2855952	ERR2855953	ERR2855954	ERR2855955
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	0	0	0	21	0	177	0	0	57	0	0	0	0	14	0	0	35893	199	60	21	37	223	0	83	0	38	12	0	28	0	38	0	0	71	10	0	0	11	311	173	0	0	0	323	31	59	0	25	50	232	234	0	222	0	0	322	155	163	0	198	24	0	0	0	0	37	0	0	0	45546	0	31	217	0	43	10	0	0	12	63	0	0	244	0	0	275	0	11	137	97	0	0	10	632	59	0	285	17	30	0	82379	158788	95	0	47	220	0	0	270	549	0	51	176	11	0	0	0	0	0	0	64	0	7689	107	155	0	11	0	16
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2015	3842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	1820	785	5822	2536	2212	1315	1801	85	28	1446	1881	17482	3743	1352	1994	6383	736	206	7834	433	2174	73	2234	294	0	2012	839	60	36178	598	200	6611	26	362	448	32	295	3321	2149	300	562	132	43	374	37	76	805	65	126	591	28594	7705	1090	4664	179	353	5514	2068	4435	1935	2811	268	1337	21130	786	2243	83	1278	294	154	29	55	7919	1515	2383	573	363	32	25	203	23	494	849	68	94	637	1146	281	3839	511	56	2517	110	118	1257	7671	122	1887	1069	273	618	663	18	888	55	2928	63	17	1979	303	228	1012	4249	20603	177	0	1119	1068	178	553	241	592	842	509	145	1517	1947	143	730
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	15	199	0	42	0	0	21	0	32	0	0	0	0	354	0	11	915	0	0	17	13	43	33	0	34	0	14	0	16	154	182	0	0	11	2099	0	0	0	0	27	0	0	0	25	3815	0	20	85	0	35	0	33	3305	25	0	0	0	0	1205	0	23	0	0	30	1230	0	0	217	0	0	0	0	0	10	605	640	0	191	0	0	0	302	627	0	25	0	339	0	0	4598	0	90	0	0	0	0	0	1322	409	195	0	59	0	0	12	0	69	0	0	10	0	68	0	6926	455	0	791	2600	23	0	0	12	476	490	0	0	3516	0	2703
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	12	0	11	0	12	0	0	0	46	20	0	0	31	484	11	0	0	0	13	0	12	55	0	38	0	0	0	0	0	16	0	0	17	0	0	14	24	0	0	0	0	0	0	24	0	0	0	0	0	33	0	19	0	63	11	60	0	0	0	12	57	22	31	22	0	21	0	15	0	0	0	0	0	0	12	0	234	0	0	39	82	12	0	33	0	12	0	0	0	0	25	0	0	19	23	0	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	33	0	27	0	0	10	0	12	20	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	0	0	0	0	208	0	165	0	289	0	0	336	0	526	2814	2421	658	165	1972	0	1382	36	0	0	36	192	10171	177	0	472	0	0	440	0	0	121	0	0	0	3228	0	0	0	594	0	0	0	0	816	150	424	0	179	108	33	157	1146	16769	576	713	0	60	0	1045	0	0	0	59	0	35	0	181	232	0	33	319	0	0	0	0	277	155	0	235	0	100	245	484	63	0	0	0	0	0	0	0	3765	0	0	1092	377	122	0	0	0	73	13	87	504	68	0	64	37	0	0	0	0	66	0	0	661	195	71	47	0	586	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
