	ERR9578157	ERR9578158	ERR9578159	ERR9578160	ERR9578164	ERR9578165	ERR9578166	ERR9578167	ERR9578168	ERR9578169	ERR9578170	ERR9578174	ERR9578175	ERR9578176	ERR9578177	ERR9578187	ERR9578188	ERR9578191	ERR9578192	ERR9578194	ERR9578195	ERR9578196	ERR9578197	ERR9578198	ERR9578200	ERR9578201	ERR9578203	ERR9578204	ERR9578205	ERR9578206	ERR9578207	ERR9578209	ERR9578211	ERR9578212	ERR9578213	ERR9578218	ERR9578219	ERR9578220	ERR9578221	ERR9578224	ERR9578225	ERR9578226	ERR9578227	ERR9578228	ERR9578231	ERR9578232	ERR9578234	ERR9578235	ERR9578236	ERR9578238	ERR9578242	ERR9578243	ERR9578244	ERR9578248	ERR9578250	ERR9578251	ERR9578253	ERR9578254	ERR9578257	ERR9578267	ERR9578268	ERR9578270	ERR9578285	ERR9578295	ERR9578301	ERR9578302	ERR9578303	ERR9578305
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	0	0	0	0	4879	14484	4576	0	23462	0	0	499	0	26	0	0	0	741	0	0	0	0	0	5668	0	23568	16	0	0	4326	25	0	0	0	4767	9015	11	37	9800	40	30725	0	718	31	18680	0	114	22098	0	0	49	0	38	26662	0	0	5294	0	586	1105	0	14	0	3575	121553	18996	211199	16
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	53	0	15	0	102	251	164	10	680	0	0	13	13	0	11	0	0	30	0	0	0	0	0	109	0	763	0	0	0	94	0	0	0	0	179	225	0	15	228	0	1074	0	19663	0	597	0	17	1084	0	0	30	0	0	545	0	0	169	0	13890	31	0	0	0	56	2875	846	11642	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	842	5960	144	305	72	173	149	37	12	96	4732	1534	137	322	122	550	768	54	1108	25	4240	1396	406	3933	1709	307	27	61	32	387	77	91	277	451	59	392	295	1282	134	632	1907	0	89	35	219	0	0	295	186	148	551	5448	181	956	1774	77	23	79	666	173	256	343	0	393	82	438	204	1595
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	1452	48	0	254	23	0	42	0	1098	0	632	502	0	0	0	0	337	454	0	78	0	505	294	50	0	366	1920	0	295	43	18	361	694	27	320	0	0	308	0	1766	323	19	300	0	65	0	0	0	292	1207	0	10	271	42	2178	126	0	135	0	17	0	518	0	86	0	0	0	1565
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	24	168	19	75	0	13	0	0	0	18	0	37	40	208	0	21	27	0	0	34	0	0	15	23	12	70	10	0	19	0	36	19	198	32	0	42	92	0	0	57	15	324	0	17	0	13	0	0	0	322	0	0	28	0	0	0	0	14	15	0	0	21	0	0	0	0	0	38
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	0	487	1442	1037	267	0	54	0	0	0	1144	465	37	0	818	0	191	580	0	276	0	1182	267	2750	26	60	4927	0	362	0	1502	0	170	576	524	1119	158	1529	0	0	680	0	524	17	0	0	478	0	0	1926	18	2009	1950	0	0	0	259	269	409	132	0	0	0	468	0	1140	731	58
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	21280	4636	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10138	0	0	0	0	0	0	0	0	0	277	0	10	8141	0	0	0	1368	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6423	12289	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
