	ERR9830061	ERR9830063	ERR9830064	ERR9830066	ERR9830067	ERR9830069	ERR9830070	ERR9830072	ERR9830073	ERR9830075	ERR9830076	ERR9830078	ERR9830079	ERR9830081	ERR9830082	ERR9830084	ERR9830085	ERR9830087	ERR9830088	ERR9830090	ERR9830091	ERR9830093	ERR9830094	ERR9830096	ERR9830097	ERR9830099	ERR9830100	ERR9830102	ERR9830103	ERR9830105	ERR9830106	ERR9830108	ERR9830109	ERR9830111	ERR9830112	ERR9830114	ERR9830115	ERR9830117	ERR9830118	ERR9830120	ERR9830121	ERR9830123	ERR9830124	ERR9830126	ERR9830127	ERR9830129	ERR9830130	ERR9830131	ERR9830132	ERR9830133	ERR9830134	ERR9830135	ERR9830136	ERR9830137	ERR9830138	ERR9830139	ERR9830140	ERR9830141	ERR9830142	ERR9830143	ERR9830144	ERR9830145	ERR9830146	ERR9830147	ERR9830148	ERR9830149	ERR9830150	ERR9830152	ERR9830153	ERR9830154	ERR9830155	ERR9830156	ERR9830157	ERR9830158	ERR9830159	ERR9830160	ERR9830161	ERR9830162	ERR9830163	ERR9830164	ERR9830166	ERR9830167	ERR9830169	ERR9830170	ERR9830172	ERR9830173	ERR9830175	ERR9830176	ERR9830178
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	37	0	0	0	0	0	0	0	412	315	0	0	0	0	12558	0	1959	74	5755	0	0	0	18736	0	0	0	0	0	0	0	0	0	175223	0	1814	0	0	0	112	32988	0	11919	0	0	37044	0	7322	0	0	0	115333	0	0	0	18	0	100070	0	0	0	0	0	0	0	4117	0	68	0	7517	0	0	1680	126	0	1583	0	0	0	21347	3415	599	6685	4029	5753	16385	0	0	0	4563
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	1171	0	0	0	0	0	0	0	12	13	0	0	0	0	536	0	61	1143	263	0	0	0	786	0	0	0	0	0	0	0	0	0	8000	0	81	0	0	0	0	898	0	291	0	0	1330	0	183	0	0	0	4519	0	0	0	0	0	3304	0	0	0	0	0	0	0	103	0	1252	0	293	0	0	32565	0	0	45232	0	0	0	992	92	6737	188	187	200	432	0	0	0	158
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	60	325	2224	833	37	0	503	125	36	102	113	350	48	194	516	115	26	485	64	1518	12	0	105	178	148	575	395	86	753	77	28	303	57	50	246	932	0	227	0	56	44	13	0	0	427	525	186	1090	95	0	302	102	189	141	270	83	177	322	694	545	61	70	267	104	125	0	146	40	38	113	0	216	630	60	154	248	127	1139	139	105	22	0	177	665	160	255	156	0	51
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	0	17	0	516	0	0	0	49	0	117	103	0	0	0	0	15	0	0	46	195	0	0	0	783	0	0	0	388	0	56	0	0	86	0	0	0	0	0	0	0	0	0	0	0	81	241	0	0	0	0	50	82	0	0	596	0	209	0	355	34	0	119	0	114	168	0	0	0	0	158	0	0	0	0	57	86	37	861	0	0	0	0	33	411	78	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	55	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	21	34	0	22	0	0	0	0	0	0	0	1239
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	33	29	238	169	0	0	0	0	102	114	59	0	0	262	59	0	0	204	0	283	21	0	401	118	0	0	0	0	193	0	0	128	0	84	0	0	0	164	0	157	0	54	0	77	82	0	0	154	33	0	0	0	0	17	0	0	996	0	0	0	33	0	0	17	29	0	371	104	0	1452	0	0	138	36	0	0	0	0	0	77	17	0	180	62	268	185	11	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	52	0	0	0	0	0	0	0	172	633	0	0	0	0	0	0	0	0	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5662	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0
