	SRR6468503	SRR6468521	SRR6468522	SRR6468523	SRR6468525	SRR6468526	SRR6468527	SRR6468528	SRR6468534	SRR6468541	SRR6468542	SRR6468543	SRR6468544	SRR6468545	SRR6468546	SRR6468547	SRR6468548	SRR6468549	SRR6468550	SRR6468551	SRR6468552	SRR6468559	SRR6468560	SRR6468561	SRR6468563	SRR6468567	SRR6468568	SRR6468571	SRR6468572	SRR6468573	SRR6468574	SRR6468575	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468581	SRR6468590	SRR6468591	SRR6468592	SRR6468595	SRR6468596	SRR6468597	SRR6468598	SRR6468599	SRR6468603	SRR6468604	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468612	SRR6468613	SRR6468614	SRR6468617	SRR6468618	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468626	SRR6468628	SRR6468629	SRR6468638	SRR6468639	SRR6468640	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468653	SRR6468655	SRR6468656	SRR6468657	SRR6468660	SRR6468661	SRR6468665	SRR6468671	SRR6468672	SRR6468673	SRR6468674	SRR6468676	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468685	SRR6468686	SRR6468687	SRR6468689	SRR6468692	SRR6468694	SRR6468695	SRR6468700	SRR6468706	SRR6468709
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	16	0	48	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	406	0	10	0	19	0	0	22	0	59	15389	34	184561	76	12	182120	24	322	14289	0	0	0	0	123	172	91	12	0	43	0	0	0	48	166242	70	0	0	37	0	0	0	0	1193	1381	0	0	47404	22	0	0	134	0	17	0	68	0	0	26	17	0	0	0	0	0	17	0	0	0	93164	15	19	0	0	22	17409	6417	0	23	23	0	0	57677	0	1614	63	0	13	159982	30111	0	0	0	0	23	13	0	905	0	188	46	18	97	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	13	0	0	0	15	0	0	0	0	0	279028	0	7116	39	0	8668	0	16	406	0	0	0	0	0	0	39	0	0	16	0	0	0	0	6007	0	0	0	0	0	0	0	0	34671	31786	0	0	2221	0	0	0	0	0	0	0	17	0	0	0	44	0	0	0	0	0	12	0	0	0	3377	10	0	0	0	0	677	181265	0	17	0	0	0	2441	0	12	14	0	0	4808	1032	0	0	0	0	0	16	0	38	0	14	0	10	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	397	0	1756	346	1522	48	304	174	0	180	474	50	216	12	633	308	126	69	62	19	0	2341	1127	44	0	177	0	216	3392	40	12	94	488	100	1996	0	0	335	0	10	0	0	436	27	470	133	356	244	51	41	18	2705	2459	163	89	213	0	3213	219	127	33	64	85	15	10	0	90	0	365	30	49	84	519	216	201	767	430	119	1472	25	33	315	315	11	18	0	0	44	18	0	423	778	461	409	235	762	239	190	0	403	12	250	81	34
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	24	0	38	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	40	0	837	467	0	0	0	187	0	10	134	0	36	0	128	68	0	0	0	12	0	1039	0	0	0	0	0	0	1486	36	0	0	57	128	112	0	0	108	0	232	0	0	168	0	369	0	125	0	29	0	89	0	2692	0	0	0	0	2199	434	0	0	0	0	0	0	0	0	0	16	68	150	98	0	73	27	119	51	0	0	0	135	0	26	0	0	0	0	101	0	186	0	0	17	0	549	0	0	710	0	193	0	0	234	350
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	0	32	0	0	0	13	0	51	0	41	0	60	0	40	15	22	0	0	0	0	52	0	0	29	0	0	0	365	0	0	65	10	45	0	0	0	0	0	0	0	0	11	14	0	0	106	0	0	0	0	0	30	0	21	0	0	0	12	33	0	0	0	0	0	0	0	10	0	0	0	29	0	29	77	11	44	0	0	25	13	0	0	184	0	0	0	40	0	0	16	0	0	29	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	13	0	0	0	0	0	0	124	19	0	0	0	60	14	14	0	21	0	0	0	0	0	2000	0	0	0	0	0	0	0	27	0	93	42	431	0	0	0	0	104	0	0	0	0	24	235	0	0	0	0	0	0	0	1559	0	16	0	0	0	0	86	0	0	149	0	0	0	0	0	53	0	164	0	0	478	2485	0	104	0	0	32	459	0	894	228	0	0	0	0	0	0	326	0	0	1140	1134	28	339	174	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	272	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	255	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
