	SRR6468500	SRR6468503	SRR6468508	SRR6468509	SRR6468512	SRR6468522	SRR6468523	SRR6468524	SRR6468528	SRR6468532	SRR6468538	SRR6468540	SRR6468543	SRR6468544	SRR6468545	SRR6468549	SRR6468550	SRR6468553	SRR6468562	SRR6468564	SRR6468567	SRR6468589	SRR6468597	SRR6468598	SRR6468600	SRR6468604	SRR6468605	SRR6468611	SRR6468613	SRR6468614	SRR6468617	SRR6468621	SRR6468622	SRR6468624	SRR6468626	SRR6468627	SRR6468628	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468635	SRR6468636	SRR6468639	SRR6468643	SRR6468644	SRR6468647	SRR6468649	SRR6468654	SRR6468656	SRR6468657	SRR6468658	SRR6468660	SRR6468663	SRR6468664	SRR6468668	SRR6468673	SRR6468674	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468684	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468690	SRR6468693	SRR6468697	SRR6468698	SRR6468699	SRR6468704	SRR6468706	SRR6468709	SRR6468715	SRR6468716	SRR6468718
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	0	406	0	0	0	10	0	96	22	0	0	0	34	184561	76	322	14289	34572	21	0	91	0	1193	1381	0	47404	11	326797	0	68	0	0	0	0	0	41	0	12	0	0	0	19	19362	0	19	0	17409	0	119	0	57677	0	0	23	53	11	159982	30111	0	0	0	23	0	0	905	0	0	73	18	0	0	0	0	0	0	0	0	51800
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	0	13	0	0	0	0	0	0	0	0	0	0	0	7116	39	16	406	601	0	0	39	0	34671	31786	0	2221	0	9426	0	17	0	0	0	0	0	0	0	0	0	0	0	19	228463	0	0	0	677	0	14	0	2441	0	0	10	0	10	4808	1032	0	0	0	0	17	0	38	0	0	19	11	0	0	0	0	0	0	0	0	2238
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	31	397	141	190	126	1756	346	47	174	19	134	0	50	216	12	69	62	11	0	133	177	0	436	27	32	356	63	590	163	89	213	127	33	0	85	306	15	1736	11	713	427	151	2613	90	49	84	201	430	0	33	315	325	315	0	0	114	44	18	423	778	461	409	268	762	239	1808	190	12	77	30	445	117	140	81	34	42	81	449
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	11	40	0	287	0	837	467	0	187	121	35	385	0	36	0	0	0	0	0	0	0	0	168	0	29	125	28	653	0	0	0	0	0	0	0	0	0	0	0	448	0	686	57	0	150	98	27	51	0	135	0	0	26	0	0	2114	101	0	0	0	17	0	0	0	0	0	710	0	0	0	286	0	318	234	350	18	0	97
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	10	0	0	0	0	0	32	0	13	0	18	0	41	0	60	22	0	0	0	0	29	0	0	11	33	0	35	58	30	0	21	12	33	0	0	0	0	0	0	0	0	0	13	0	0	0	29	11	0	25	13	0	0	0	0	0	0	40	0	16	0	0	0	0	0	0	0	0	0	0	35	0	15	0	0	0	16	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	47	13	217	23	456	0	0	0	124	0	704	505	0	60	14	0	0	0	0	0	0	0	0	0	0	0	3238	905	1559	0	16	0	86	0	0	691	149	37	0	0	0	282	0	0	0	164	478	0	0	32	459	33	0	1600	0	190	0	0	0	326	0	0	107	1134	28	21	339	0	0	0	0	467	0	0	0	769	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	14227	0	28881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
