	SRR1778456	SRR341581	SRR341582	SRR341584	SRR341590	SRR341591	SRR341592	SRR341594	SRR341595	SRR341597	SRR341598	SRR341607	SRR341608	SRR341609	SRR341610	SRR341611	SRR341613	SRR341614	SRR341618	SRR341619	SRR341625	SRR341627	SRR341633	SRR341635	SRR341636	SRR341637	SRR341642	SRR341644	SRR341645	SRR341646	SRR341647	SRR341648	SRR341649	SRR341651	SRR341652	SRR341658	SRR341660	SRR341662	SRR341663	SRR341664	SRR341669	SRR341673	SRR341677	SRR341678	SRR341679	SRR341680	SRR341683	SRR341685	SRR341687	SRR341688	SRR341689	SRR341690	SRR341693	SRR341694	SRR341699	SRR341700	SRR341706	SRR341707	SRR341708	SRR341710	SRR341712	SRR341713	SRR341714	SRR341715	SRR341716	SRR341717	SRR341718	SRR341719	SRR341720	SRR341724	SRR341725	SRR413615	SRR413626	SRR413632	SRR413633	SRR413634	SRR413668	SRR413669	SRR413670	SRR413671	SRR413672	SRR413673	SRR413680	SRR413714	SRR413721	SRR413728	SRR413738	SRR413742	SRR413746	SRR413754	SRR413756	SRR413768	SRR413769	SRR413772
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	4354	0	0	0	0	0	0	1349	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	14	205	0	18	0	0	26	0	0	25	0	0	208	34	0	24	11	14	540	57	20	13	2344	0	0	0	98	88	0	0	239	0	276	0	0	0	31	46621	0	7677	0	49202	227	22478	11	0	0	97774	47	19	0	0	16	218387	144	0	45	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	99	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	67	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1358	0	227	0	915	0	428	0	0	0	2998	0	0	0	0	0	7083	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	880	213	72	1412	868	156	4918	305	934	11	2035	21	222	1114	2403	629	549	173	168	98	437	71	290	308	206	387	100	22	247	1201	70	143	172	217	504	288	11	154	159	354	237	197	10739	247	2739	57	1890	5572	22	237	2033	263	0	367	1382	0	399	96	531	1485	135	1351	69	1254	328	459	294	18	10	24	561	709	381	90	6739	562	32	95	61	84	30	1812	968	549	586	4004	23	6067	2002	70	46	0	70	874
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	23	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	102	2358	0	508	12	126	2255	200	0	442	0	0	58	265	10	0	157	624	305	15	0	0	0	0	0	14	102	0	108	15	0	52	143	131	0	0	0	0	0	0	0	0	0	0	737	0	0	0	558	337	0	0	0	0	0	127	349	820	2089	82	0	0	0	0	10	0	1104	334	0	0	214	0	205	12	1804	0	127	0	0	166	0	0	110	45	0	0	329	1417	0	1413	0	0	44	36
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	16	0	0	0	15	18	0	22	0	0	0	0	12	0	0	17	0	11	0	0	0	0	0	0	19	0	0	27	0	0	0	17	27	34	50	0	0	125	29	0	0	0	0	0	62	13	30	0	0	0	0	0	0	0	0	20	36	134	49	60	17	66	115	45	12	16	0	0	17	0	56	95	44	0	52	15	0	0	0	0	0	0	23	37	14	0	0	92	0	24	0	185	21	56
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	68	0	0	0	1761	0	0	64	0	17285	103	0	246	0	0	136	0	44	291	0	0	37	0	16	1948	78	0	0	0	0	0	874	226	0	37	0	0	290	39	560	262	0	0	2968	0	0	0	0	32	0	0	0	0	0	0	1711	0	82	561	0	122	0	832	0	0	0	99	37	0	0	121	0	190	21	0	195	0	296	0	0	153	0	0	190	0	0	0	2987	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	0	0	0	0	0	124	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	10	73	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
