Feature	DRR127488	DRR127524	DRR127532	DRR127535	DRR127583	DRR127588	DRR127721	DRR127724	DRR127728	DRR127731	DRR127736	DRR127751	DRR127752	DRR127755	DRR127776	DRR127777	DRR171467	DRR171469	DRR171506	DRR171629	DRR171724	DRR171725	DRR171726	DRR171727	DRR171737	DRR171741	DRR171745	DRR171747	DRR171755	DRR171762	DRR171763	DRR171770	DRR171779	DRR171782	DRR171786	DRR171798	DRR171812	DRR171813	DRR171816	DRR171817	DRR171821	DRR171834	DRR171838	DRR171855	DRR171886	DRR171917	DRR171919	DRR171921	DRR171922	DRR171923	DRR171925	DRR171928	DRR171930	DRR171931	DRR171934	DRR171935	DRR171936	DRR171938	DRR171939	DRR171943	DRR171948	DRR171950	DRR171951	DRR171952	DRR171953	DRR171954	DRR171959	DRR171965	DRR173016	DRR173017	DRR171483	DRR171484	DRR171485	DRR171491	DRR171492	DRR171507	DRR171508	DRR171512	DRR171516	DRR171520	DRR171521	DRR171524	DRR171526	DRR171528	DRR171529	DRR171531	DRR171532	DRR171533	DRR171535	DRR171536	DRR171542	DRR171553	DRR171554	DRR171559	DRR171570	DRR171573	DRR171575	DRR171579	DRR171593	DRR171595	DRR171600	DRR171602	DRR171603	DRR171609	DRR171630	DRR171634	DRR171636	DRR171660	DRR171669	DRR171671	DRR171674	DRR171678	DRR171679	DRR171687	DRR171699	DRR171732	DRR171743	DRR171748	DRR171757	DRR171758	DRR171761	DRR171774	DRR171776	DRR171778	DRR171822	DRR171827	DRR171844	DRR171853	DRR171877	DRR171882	DRR171885	DRR171900	DRR171912	DRR171918	DRR171920	DRR171924	DRR171944	DRR171946	DRR171955	DRR171962
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	28	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	15	1594	1645	0	0	0	15	0	0	0	15	66	12	0	0	0	19	0	0	0	15	723	0	85	0	0	0	0	29	0	0	15	0	0	0	0	0	0	0	54	0	0	0	0	0	10	0	0	2132	44470	11510	0	0	0	0	0	0	6982	0	0	0	0	13	0	0	0	0	0	0	0	0	895	5837	5463	0	0	0	5503	0	0	1344	0	0	21560	0	179	0	0	0	0	24	0	40	0	0	0	0	0	0	0	0	0	67	0	0	0	0	21	0	21	15	0	14	0	26	0	0	0	11589	29	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	46	253	136	42326	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	0	41	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	1036	213	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	13	152	90	0	0	0	134	0	0	27	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1942	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	34	40	102	15	31	1513	3755	121	8334	2594	1372	0	4237	70	488	284	10	0	4644	2556	210	48	95	75	369	1033	40	122	849	21	2474	856	744	80	9766	95	426	0	0	16	288	598	768	0	81	8363	265	141	934	485	309	304	82	156	20	309	207	90	414	12	259	3265	1070	82	142	853	127	213	266	19	446	217	451	128	522	1421	2256	608	10	664	0	1094	0	623	555	172	0	0	19	639	69	14	1132	658	167	237	799	479	1942	545	393	1063	304	252	128	75	168	750	330	145	22	121	41	0	839	745	306	133	2874	106	2212	0	6498	126	38	2680	57	1210	1848	535	250	1904	211	99	451	837	161	84	105	423
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	16	65	95	0	0	0	0	1706	10	0	563	0	3001	17	745	0	0	0	0	2932	0	0	0	26	0	0	0	0	684	0	0	230	669	1140	0	0	97	184	0	0	0	0	907	0	0	0	32	349	0	686	401	0	0	3823	21	10	0	135	1373	604	516	1154	1647	0	0	51	2725	0	455	0	173	111	86	190	0	0	72	0	0	57	0	879	0	26	1392	32	0	0	0	0	0	63	532	63	924	73	329	1170	21	270	0	0	0	139	571	94	0	0	0	0	0	0	49	0	0	396	32	60	0	555	213	0	0	44	0	0	0	1034	0	0	135	185	0	34	0	1767	0	244	224	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	39	0	0	0	0	0	10	0	0	0	0	0	140	0	0	0	0	0	0	0	0	23	0	0	0	0	0	14	22	0	0	0	18	10	0	0	0	43	0	0	0	21	0	0	27	0	0	30	18	0	19	0	0	22	0	29	0	45	152	0	25	0	16	0	208	25	0	0	0	0	10	57	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	11	0	0	0	48	0	42	49	0	0	0	12	0	0	82	0	0	0	0	0	0	0	0	13	0	0	54	12	36	0	0	0	0	0	29	0	0	0	0	0	35	0	0	0	0	0	0	0	41
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	1280	752	130	83	117	0	0	0	0	2674	0	4482	0	1509	469	206	391	0	0	0	1551	119	0	0	0	0	0	447	611	245	126	0	0	0	1232	0	108	0	0	0	204	0	0	0	0	0	0	0	362	722	0	0	0	0	73	3730	0	21	0	0	44	0	0	0	0	0	0	0	0	0	0	159	274	0	0	0	0	174	0	0	0	0	0	405	680	0	0	0	0	0	0	0	28	98	18	0	0	46	0	552	0	0	0	0	0	1450	2061	0	0	0	15	35	0	0	18	39	14	0	125	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	1774	0	0	0	66	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	254	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1168	0	0	32	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4025	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000000897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	0	765	0	0	0	0	0	0	0	0	0	10	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	71351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	54	0	0	0	19
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	0	14	0	0	0	0	56	0	129	0	0	0	0	0	0	320	0	52	16	0	0	147	0	0	0	0	0	223	0	0	0	0	129	0	0	0	0	21	0	0	0	0	0	0	0	0	0	121	63	0	0	0	658	0	0	0	0	0	0	57	132	0	0	14	0	62	45	0	0	0	0	0	25	0	14	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	492	0	0	0	0	39	0	0	0	0	48	0	0	72	0	0	0	0	0	0	0	45	28	0	0	0	0	0	0	121	36	0	0	0	0	0	0	17	26	0	150	0	0	0	38	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__ISO4-G1|s__MGYG000003531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
