Feature	DRR127524	DRR127532	DRR127535	DRR127537	DRR127552	DRR127588	DRR127597	DRR127619	DRR127634	DRR127649	DRR127683	DRR127707	DRR127724	DRR127728	DRR127731	DRR127736	DRR127748	DRR127751	DRR127752	DRR127776	DRR127777	DRR162775	DRR171467	DRR171642	DRR171655	DRR171724	DRR171725	DRR171726	DRR171727	DRR171737	DRR171745	DRR171747	DRR171755	DRR171762	DRR171770	DRR171777	DRR171779	DRR171782	DRR171793	DRR171798	DRR171807	DRR171812	DRR171813	DRR171817	DRR171821	DRR171855	DRR171856	DRR171917	DRR171919	DRR171921	DRR171923	DRR171925	DRR171928	DRR171930	DRR171931	DRR171934	DRR171935	DRR171936	DRR171938	DRR171939	DRR171942	DRR171948	DRR171950	DRR171951	DRR171952	DRR171953	DRR171954	DRR171957	DRR171959	DRR173016	DRR173017	DRR127476	DRR127478	DRR127481	DRR127485	DRR127491	DRR127507	DRR127509	DRR127514	DRR127515	DRR127517	DRR127519	DRR127521	DRR127536	DRR127557	DRR127559	DRR127567	DRR127579	DRR127580	DRR127594	DRR127603	DRR127617	DRR127625	DRR127638	DRR127646	DRR127647	DRR127666	DRR127669	DRR127674	DRR127685	DRR127700	DRR127708	DRR127718	DRR127720	DRR127754	DRR127774	DRR127789	DRR162777	DRR162778	DRR162779	DRR171459	DRR171472	DRR171519	DRR171661	DRR171666	DRR171667	DRR171672	DRR171680	DRR171683	DRR171684	DRR171685	DRR171688	DRR171693	DRR171697	DRR171702	DRR171703	DRR171742	DRR171750	DRR171764	DRR171767	DRR171784	DRR171794	DRR171800	DRR171805	DRR171819	DRR171858	DRR171859	DRR171871	DRR171891	DRR171905	DRR171909	DRR171910
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	48	0	28	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	1594	1645	0	0	0	0	5446	0	0	0	0	0	0	0	0	15	0	66	12	0	0	0	19	0	0	15	723	0	85	0	0	0	29	0	15	0	0	0	0	0	0	0	0	54	0	0	0	10	0	0	44470	11510	0	0	0	0	0	0	6982	0	0	0	0	13	0	0	0	0	0	0	0	1438	0	0	53361	0	0	6353	37	180300	28	0	15	0	77	0	55	0	0	0	1220	0	0	0	7185	10	0	0	0	0	0	11374	0	0	0	10	62158	0	13237	0	0	21	0	0	0	0	87	0	3732	0	0	0	0	33456	68907	0	0	0	0	1056	0	0	13	0	0	0	0	11347	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	41	76	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	213	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	1217	0	0	190	0	4324	0	0	0	0	0	0	0	0	0	0	31	0	0	0	208	0	0	0	0	0	0	256	0	0	0	0	1638	0	309	0	0	0	0	0	0	0	0	0	50	0	0	0	0	979	1787	0	0	0	0	19	0	0	0	0	0	0	0	213	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	40	102	15	2290	0	1513	76	950	941	914	2966	753	121	8334	2594	1372	92	0	4237	488	284	437	10	503	2971	210	48	95	75	369	40	122	849	21	856	1879	744	80	4660	95	779	426	0	16	288	0	122	8363	265	141	485	309	304	82	156	20	309	207	90	414	91	259	3265	1070	82	142	853	384	127	266	19	37	363	2706	414	43	112	1445	0	1505	228	300	443	2193	209	319	0	12	19	897	12	46	670	1030	260	2178	314	24	2713	225	0	25	275	1612	280	845	85	584	114	0	0	440	1232	304	952	144	88	1165	0	220	883	45	254	143	856	125	0	62881	663	815	3411	247	122	600	207	339	105	1072	133	73	0	53
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	65	95	0	0	0	0	109	1770	692	77	17	1579	1706	10	0	563	652	0	3001	745	0	0	0	302	66	0	0	0	26	0	0	0	684	0	230	967	669	1140	786	0	0	97	184	0	0	0	0	0	32	349	686	401	0	0	3823	21	10	0	135	1373	164	516	1154	1647	0	0	51	27	2725	455	0	22	251	912	311	54	0	1609	493	0	0	0	0	488	95	748	0	0	0	64	26	0	0	214	0	966	21	0	621	0	0	355	0	446	262	64	19	0	0	595	0	101	0	0	0	0	0	0	47	0	0	15	12	0	311	31	0	0	0	1810	0	112	0	0	0	0	1036	920	330	0	0	248
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	140	0	0	0	0	17	22	0	23	0	0	0	0	14	22	0	0	60	18	10	0	0	0	0	43	0	0	0	0	0	0	30	0	19	0	0	22	0	29	0	45	152	0	25	0	16	0	208	25	0	0	0	0	0	0	12	29	46	0	32	21	0	22	0	22	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	22	0	0	0	0	15	0	0	0	0	115	0	0	0	0	0	0	0	0	321	0	0	0	0	69	12	0	0	0	0	37	31	0	17	0	0	29
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	752	130	83	0	0	0	0	0	0	0	0	13	0	0	2674	0	0	4482	0	469	206	0	391	118	0	1551	119	0	0	0	0	447	611	245	0	212	0	0	0	0	0	108	0	0	204	0	0	0	0	0	722	0	0	0	0	73	3730	0	21	0	0	44	0	0	0	0	0	0	0	0	0	0	0	42	469	11	202	0	68	42	201	464	219	0	0	0	1315	0	84	17	0	18	0	0	0	0	0	0	416	0	56	0	0	0	614	245	30	407	814	0	0	0	0	0	0	0	64	27	215	0	0	0	1343	1511	32466	0	0	389	0	51	0	0	126	0	63	856	105	0	83	0	0	2004
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	254	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	2607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	105	0	0	0	0	24	0	0	24	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000000897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
