Feature	ERR479193	ERR478994	ERR479389	ERR478986	ERR479284	ERR479267	ERR479225	ERR478970	ERR479331	ERR479063	ERR479348	ERR479018	ERR479245	ERR479397	ERR479351	ERR479043	ERR479308	ERR479099	ERR478968	ERR479014	ERR479546	ERR479049	ERR479542	ERR479413	ERR479532	ERR479286	ERR479516	ERR479319	ERR479508	ERR479059	ERR479496	ERR479022	ERR479452	ERR478958	ERR479448	ERR479107	ERR479484	ERR479118	ERR479492	ERR479169	ERR479366	ERR479263	ERR479251	ERR479374	ERR479065	ERR479132	ERR479254	ERR479203	ERR479316	ERR479312	ERR479528	ERR479391	ERR479432	ERR479339	ERR479428	ERR479370	ERR479476	ERR479183	ERR479504	ERR479294	ERR479456	ERR479079	ERR479500	ERR479341
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp000499765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	0	0	0	0	0	27474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	0	160	148	43	0	0	114171	0	81500	55712	394	7887	9964	0	1248	0	78	0	347	22919	10455	0	0	19	0	21164	323	2824	1240	92712	21	0	0	0	7635	7440	8298	21	50	11407	10	186	280	2351	156665	239612	167819	1411	14857	0	233	0	0	600	0	0	0	54	0	229	19191	37	637	416
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	0	3120	10	0	0	0	4059	0	2313	1682	0	121743	69697	0	26	0	73	0	13	653	201	0	0	0	0	618	0	50288	24	3522	0	0	0	0	174	184	545	0	0	548	0	0	1825	21708	5173	7504	5744	38463	278	0	0	29	0	9721	0	0	0	413	0	0	345	17	12	17
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	71	92	5844	470	487	1230	604	121	356	163	58	84	242	50	0	1010	95	169	201	36	15	111	1428	688	225	519	482	645	37	115	183	103	116	178	210	64	38	61	523	550	95	687	548	687	162	31	408	631	21	204	0	112	334	5161	190	311	5052	488	31	588	385	179	64	50
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	0	0	693	278	0	0	0	0	182	15	35	0	0	79	0	44	0	23	0	0	0	0	0	0	1738	46	279	335	0	75	126	0	65	50	40	55	85	113	15	0	0	34	270	0	63	0	90	10	0	264	555	10	53	709	102	0	0	84	0	98	78	54	28	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	75	32	38	0	0	12	27	0	22	27	0	17	145	0	0	75	0	46	22	0	0	42	100	73	0	16	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	193	0	0	0	31	55	0	30	48	0	0	0	61	0	0	117	38	20	0	37	0	31
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	0	0	2227	250	168	0	0	0	64	269	48	928	1171	120	0	431	222	0	0	55	79	1800	36	439	0	0	0	0	0	154	74	0	21	0	92	0	17	0	0	47	0	815	0	0	1855	0	15672	31	129	0	18	0	233	805	341	125	0	0	58	104	358	0	0	62
