Feature	ERR479243	ERR479263	ERR479142	ERR478958	ERR479037	ERR479022	ERR479417	ERR479393	ERR479111	ERR478986	ERR479177	ERR479169	ERR479010	ERR479132	ERR479175	ERR479167	ERR479423	ERR478970	ERR479440	ERR479294	ERR478984	ERR479339	ERR479353	ERR479079	ERR479357	ERR479374	ERR479355	ERR479397	ERR479415	ERR479319	ERR479077	ERR479063	ERR479223	ERR479033	ERR479335	ERR479401	ERR479029	ERR478962	ERR479138	ERR478990	ERR479235	ERR479391	ERR479083	ERR479128	ERR479276	ERR479370	ERR479255	ERR479000	ERR479071	ERR479378	ERR479290	ERR479059	ERR479173	ERR479183	ERR479219	ERR479049	ERR479039	ERR479413	ERR479524	ERR478974	ERR479488	ERR478976	ERR479460	ERR479107	ERR479436	ERR479093	ERR479512	ERR479101	ERR479538	ERR479286	ERR479554	ERR479341
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp000499765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	0	0	0	0	0	0	0	0	0	0	0	0	58565	0	0	0	0	0	0	74117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18810	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	14	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	27	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	372	186	48656	0	0	0	82	114702	170186	43	37848	11407	34040	239612	0	4178	0	0	2060	229	305003	600	14	37	49	2351	118378	0	221	2824	2397	55712	35617	64	0	179	110513	1238	221063	30748	76233	0	25	0	0	0	18385	9852	5783	16564	0	92712	20	54	1008	0	26	19	0	84945	0	0	0	7440	5789	236	25	118	1526	21164	0	416
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	9160	0	2302	0	0	0	0	4969	5096	0	873	548	877	7504	0	159	89	0	71	0	11651	9721	0	17	904	21708	4309	0	2376	50288	194	1682	728	0	0	0	4336	57	7936	1330	2737	29	115	0	0	0	490	181	229	719	0	3522	0	413	38	0	0	0	0	2369	0	0	0	184	173	0	0	2802	47551	618	0	17
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	65	687	137	178	31	103	307	1032	103	470	207	550	64	31	21	1036	18	121	459	588	162	5161	69	179	0	687	1001	50	354	645	998	163	201	0	406	334	309	453	656	694	102	112	212	16	20	311	561	291	261	179	18	115	70	488	58	111	0	688	30	149	355	84	74	64	71	148	367	119	69	519	963	50
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	0	34	0	50	0	0	222	16	25	278	21	0	0	0	0	218	0	0	126	98	0	709	0	54	0	0	221	79	21	335	0	15	0	0	64	71	194	0	157	0	60	10	0	0	74	0	207	0	0	0	0	75	211	84	0	0	0	0	53	0	0	14	0	55	0	0	107	181	67	46	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	36	0	0	0	28	0	0	0	0	0	0	0	0	13	18	0	0	20	0	0	0	37	0	0	0	0	21	0	21	27	0	0	242	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	117	0	42	0	73	0	29	0	0	0	0	0	0	0	28	0	16	0	31
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	142	815	96	0	30	0	1147	0	49871	250	52	47	0	0	0	0	121	0	34	104	340	805	0	0	0	0	728	120	0	0	28	269	248	67	261	0	678	0	2281	762	633	0	0	0	234	125	0	0	188	14774	0	154	29866	0	0	1800	0	439	0	64	153	935	0	0	309	0	66	127	186	0	137	62
