OTU ID	ERR1293874	ERR1293754	ERR1293738	ERR1293505	ERR1293790	ERR1293706	ERR1293798	ERR1293794	ERR1293894	ERR1293818	ERR1293577	ERR1293910	ERR1293613	ERR1293497	ERR1293557	ERR1293694	ERR1293654	ERR1293513	ERR1293886	ERR1293597	ERR1293638	ERR1293890	ERR1293822	ERR1293533
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	187	0	52	0	2517	479	0	38350	0	451	3764	3890	2673	0	0	404	0	0	225	0	4618	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	0	0	0	0	49	16	0	1363	0	13	105	138	95	0	0	0	241	37	2056	0	127	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	375	17	767	17	185	53	29	1773	152	276	1227	278	122	1277	0	181	224	290	143	61	721	0	218	744
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	532	1595	443	0	226	396	166	0	62	143	0	76	50	62	0	12	326	502	20	414	294	0	272	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	12	0	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	20	22	0	0	0	13	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	91	700	212	0	139	205	180	106	0	0	22	0	0	1209	0	0	0	37	0	0	0	0	113	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	76	0	11	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
