OTU ID	SRR19064316	SRR19064317	SRR19064318	SRR19064319	SRR19064320	SRR19064321	SRR19064324	SRR19064325	SRR19064326	SRR19064327	SRR19064328	SRR19064329	SRR19064330	SRR19064331	SRR19064332	SRR19064333	SRR19064334	SRR19064335	SRR19064336	SRR19064337	SRR19064338	SRR19064339	SRR19064340	SRR19064341	SRR19064343	SRR19064344	SRR19064345	SRR19064346	SRR19064348	SRR19064350	SRR19064351	SRR19064352	SRR19064353	SRR19064354	SRR19064355	SRR19064356	SRR19064357	SRR19064358	SRR19064359	SRR19064360	SRR19064362	SRR19064363	SRR19064364	SRR19064365	SRR19064366	SRR19064368	SRR19064369	SRR19064370	SRR19064371	SRR19064372	SRR19064373	SRR19064374	SRR19064376	SRR19064380	SRR19064381	SRR19064382	SRR19064384	SRR19064386	SRR19064388	SRR19064390	SRR19064391	SRR19064392	SRR19064395	SRR19064396	SRR19064397	SRR19064398	SRR19064399	SRR19064401	SRR19064402	SRR19064403	SRR19064405	SRR19064406	SRR19064407	SRR19064408	SRR19064409	SRR19064412	SRR19064413	SRR19064415	SRR19064416	SRR19064419	SRR19064420	SRR19064421	SRR19064422	SRR19064423	SRR19064424	SRR19064425	SRR19064426	SRR19064427	SRR19064428	SRR19064429	SRR19064431	SRR19064432	SRR19064433	SRR19064434	SRR19064435	SRR19064436	SRR19064437	SRR19064439	SRR19064441	SRR19064442	SRR19064443	SRR19064444	SRR19064445	SRR19064446	SRR19064447	SRR19064448	SRR19064449	SRR19064450	SRR19064451	SRR19064452	SRR19064453	SRR19064454	SRR19064455	SRR19064456	SRR19064457	SRR19064458	SRR19064460	SRR19064462	SRR19064463	SRR19064464	SRR19064466	SRR19064467	SRR19064470	SRR19064471	SRR19064472	SRR19064475	SRR19064476	SRR19064477	SRR19064480	SRR19064481	SRR19064482	SRR19064483	SRR19064485	SRR19064487	SRR19064489	SRR19064493	SRR19064500	SRR19064502	SRR19064503	SRR19064504	SRR19064505	SRR19064506	SRR19064508	SRR19064510	SRR19064517	SRR19064519	SRR19064522	SRR19064529	SRR19064530	SRR19064532	SRR19064536	SRR19064539	SRR19064541	SRR19064542	SRR19064545	SRR19064546	SRR19064549	SRR19064551	SRR19064557	SRR19064558	SRR19064559	SRR19064561	SRR19064562	SRR19064564	SRR19064565	SRR19064566	SRR19064567	SRR19064568	SRR19064571	SRR19064574	SRR19064575	SRR19064578	SRR19064579	SRR19064581	SRR19064586	SRR19064588	SRR19064598	SRR19064599	SRR19064600	SRR19064602	SRR19064605	SRR19064606	SRR19064610	SRR19064612	SRR19064615	SRR19064622	SRR19064623	SRR19064627	SRR19064633	SRR19064635	SRR19064642	SRR19064643	SRR19064645	SRR19064646	SRR19064647	SRR19064648	SRR19064649	SRR19064650	SRR19064651	SRR19064652	SRR19064653	SRR19064654	SRR19064655	SRR19064657	SRR19064658	SRR19064659	SRR19064660	SRR19064661	SRR19064662	SRR19064663	SRR19064665	SRR19064667	SRR19064668	SRR19064669	SRR19064670	SRR19064671	SRR19064672	SRR19064673	SRR19064674	SRR19064676	SRR19064677	SRR19064678	SRR19064679	SRR19064680	SRR19064681	SRR19064682	SRR19064683	SRR19064684	SRR19064686	SRR19064688	SRR19064689	SRR19064690	SRR19064691	SRR19064692	SRR19064693	SRR19064695	SRR19064696	SRR19064697	SRR19064698	SRR19064700	SRR19064701	SRR19064702	SRR19064704	SRR19064705	SRR19064706	SRR19064707	SRR19064708	SRR19064709	SRR19064710	SRR19064715	SRR19064716	SRR19064721	SRR19064722	SRR19064728	SRR19064729	SRR19064730	SRR19064732	SRR19064733	SRR19064736	SRR19064737	SRR19064739	SRR19064741	SRR19064746	SRR19064747	SRR19064751	SRR19064753	SRR19064754	SRR19064755	SRR19064756	SRR19064762	SRR19064765	SRR19064766	SRR19064768	SRR19064769	SRR19064771	SRR19064775	SRR19064783	SRR19064788	SRR19064790	SRR19064796	SRR19064797	SRR19064798	SRR19064800	SRR19064802	SRR19064807	SRR19064811	SRR19064820	SRR19064822	SRR19064829	SRR19064833	SRR19064844	SRR19064847	SRR19064853	SRR19064856	SRR19064857	SRR19064860	SRR19064864	SRR19064870	SRR19064873	SRR19064882	SRR19064884	SRR19064885	SRR19064886	SRR19064889	SRR19064891	SRR19064892	SRR19064893	SRR19064894	SRR19064895	SRR19064896	SRR19064897	SRR19064898	SRR19064899	SRR19064900	SRR19064901	SRR19064902	SRR19064905	SRR19064906	SRR19064907	SRR19064908	SRR19064909	SRR19064910	SRR19064911	SRR19064912	SRR19064913	SRR19064914	SRR19064916	SRR19064917	SRR19064918	SRR19064919	SRR19064920	SRR19064922	SRR19064923	SRR19064924	SRR19064925	SRR19064926	SRR19064927	SRR19064928	SRR19064930	SRR19064931	SRR19064932	SRR19064933	SRR19064934	SRR19064935	SRR19064936	SRR19064938	SRR19064939	SRR19064940	SRR19064941	SRR19064942	SRR19064943	SRR19064944	SRR19064945	SRR19064946	SRR19064947	SRR19064948	SRR19064949	SRR19064951	SRR19064952	SRR19064953	SRR19064954	SRR19064955	SRR19064958	SRR19064961	SRR19064962	SRR19064974	SRR19064988	SRR19064989	SRR19064991	SRR19064992	SRR19064994	SRR19065005	SRR19065012	SRR19065013	SRR19065018	SRR19065022	SRR19065023	SRR19065029	SRR19065030	SRR19065032
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp000499765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__MGYG000003541	0	22946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_oralis	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii	1054	104653	10447	52	121	11800	181	168	16471	161	114920	180	1381	49	52	250	158	86858	32	41	0	155	90777	93	14486	150141	57	79	0	23	13	10	15036	10587	48	16505	56	50811	24782	11	38	29	7812	12	94016	36	30350	0	126	14089	84	17	51	47	63	364	0	20	22	35	49	56	4435	44	15986	2139	51	108	69	483	41	29	32	0	1685	38347	1810	83338	30	31	44	2135	15	13041	46	12761	45	97	47	75	47712	46596	60204	278	209	8254	98	54	145	35572	114083	61215	108	67	86	49715	132	21	94	1060	14	685	4558	68	57	36	41	45	13	19395	25772	43	49	10765	35	78	58	203	26	87	230	160	53	50	10	30	269	0	220	78	67	125	10	266	19	21	1071	52	121800	22592	285	383125	253	129888	150	8019	126	511	0	206	136	25	0	0	11	17	65	12	0	0	0	25	19654	16	46	6245	26	11	0	1353	46	9799	20	34	43	17	0	14757	46	0	214269	20586	112	70	76	0	23	69	77	28	20	521	14940	173	73136	73	57	48	123	638	0	1711	28223	18138	174056	2994	57	154	141	8418	69	135	75	433	318	81	132	98	67	86	68	41	68967	132	70	65	10613	0	31	33	70	13	24	33	6845	139	12	958	247	112	91	2605	95	186622	33390	81	143	73505	45376	14303	516	11	13	25	132	104	60	43	250	362984	0	35	120	33	23813	10	39	52	19	13	0	38880	25534	11	13	59	0	26	14	18	33066	127	67821	28	10	24	48	474	71	3747	122529	74	50	2089	95	14746	0	58	57	36	15583	594	211	134	143	6751	9039	60	266988	98	46	21	61	291	141405	41720	326	194	139	8600	27	4251	36868	80	77	141	278	23087	214	77	63	104	156	43	22186	2430	31182	16	31741	21	18311	40	19581	41	0	11075	8079	31	116	71	0	0	0	32	66	54	13246	33	250	74	3497	51	10	46	28	31	176	101	240196	1937
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_smithii_A	56	2808	288	0	0	265	0	0	386	0	2527	38	29	0	0	27	20	1928	0	0	0	21	1625	874	150389	3621	51	39	0	0	0	0	386	192	0	327	0	1041	523	0	0	0	286	0	2378	0	695	0	0	382	0	0	0	531	0	0	0	0	0	0	0	32	79	10	299	35883	0	0	17	11250	28	0	0	0	16098	584	30	1627	0	54	0	52410	0	288	0	296	15	0	0	0	963	1053	2113	89	0	142	0	26	0	692	2907	1462	0	0	0	882	33	21	0	93	0	10	43662	0	0	0	12	10	0	623	682	0	0	181	0	41	19	81	11	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16327	0	2852	546	0	8429	0	4198	0	218	0	25	0	24	37	0	0	0	0	0	16	0	0	0	0	0	297	0	11	107	102	0	0	29688	0	167	0	0	0	0	0	343	28	0	3589	506	0	0	0	0	0	14	0	26	0	20	391	0	1107	0	0	69	12	10756	21	53553	656	430	3340	68	0	0	0	521	0	0	0	15	0	0	16	23	0	0	0	0	2103	14	37	0	224	0	0	0	0	0	0	0	143	16	0	13	0	0	0	62	0	5406	1007	0	0	2112	957	522	40	0	0	0	0	0	0	0	32	6882	0	0	44	0	591	0	0	0	0	0	0	753	431	17	13	0	0	0	0	0	741	28	1637	0	0	0	0	0	14	102	1682	14	0	24	0	188	0	0	0	0	247	39	14	0	0	85	119	0	4833	0	0	0	0	0	3762	915	0	0	0	188	0	223	1110	0	0	0	31	403	0	29	0	0	0	0	989	32	540	0	625	0	348	0	416	0	0	142	162	0	0	13	118	0	0	0	0	0	517	0	22	0	109	0	37	51	11	0	0	0	4790	15567
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900766745	291	23	1561	70	3100	970	1008	0	995	346	123	234	989	3768	124	145	20	484	563	0	64	0	271	48	735	173	343	0	75	67	10	78	96	545	450	129	412	88	21	87	120	0	497	512	0	0	131	10	262	822	0	656	43	29	81	256	404	62	211	49	259	0	282	1470	502	491	1191	32	50	643	75	393	0	358	2042	148	163	589	292	0	143	232	377	81	844	190	296	193	0	474	650	95	30	495	433	825	366	228	3205	675	88	336	0	1702	57	442	0	317	292	3199	2919	120	162	494	0	61	35	772	49	46	102	100	166	539	304	0	149	14	479	385	13282	24	97	25	10	1067	133	123	1456	1476	34	109	0	3643	225	0	0	787	662	372	31	75	225	57	319	42	176	357	98	464	331	223	163	26	64	0	323	98	611	98	59	45	38	265	268	277	85	507	291	1114	0	520	1130	41	80	605	309	136	201	1110	2220	466	34	0	0	687	3153	1350	14	1308	253	269	784	1057	752	621	1283	0	574	1584	12	285	545	0	61	23	39	345	1613	0	118	2925	989	12	452	425	1011	516	151	209	0	139	645	68	590	182	108	0	58	2539	1220	330	34	0	84	176	312	0	312	58	774	271	0	51	978	0	290	100	395	571	127	213	0	106	672	874	377	534	1383	17	0	51	1893	789	55	145	125	145	180	0	121	562	24	133	0	41	55	0	135	429	165	373	460	505	0	2634	336	40	0	248	0	14	289	344	1218	499	963	1046	0	1053	473	32	0	157	11	216	391	1761	43	798	180	711	237	1419	187	427	500	2567	155	123	848	38	4771	0	0	91	622	192	671	13	101	726	50	803	477	157	0	0	272	207	34	18	50	257	127	37	111	226	0	218	417	254	289	51	1711	19	0	0	10	25	77	268	397	313	657	80	0	1630	166	708
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A_woesei	15	0	0	0	0	86	0	0	90	175	0	70	0	83	394	242	0	0	88	0	0	0	157	82	21	10	47	0	0	0	57	28	28	0	53	25	0	16	0	0	0	0	28	33	0	237	0	0	0	0	0	0	0	0	142	137	0	36	0	47	0	0	0	0	0	0	0	0	0	0	0	182	0	0	279	40	11	0	220	0	0	0	0	0	0	0	122	0	0	141	0	27	0	717	0	0	568	0	0	0	0	77	40	19	0	128	0	289	59	0	0	102	0	241	0	0	0	0	0	58	0	26	282	0	71	0	0	0	51	131	0	0	0	0	0	0	0	58	0	0	0	0	0	0	299	0	123	0	0	19	0	15	811	0	73	10	975	620	0	0	0	255	0	0	79	0	226	35	13	106	0	0	0	243	0	21	148	169	0	0	16	129	0	0	0	0	328	0	0	0	127	653	47	0	0	846	0	507	0	0	0	0	0	653	10	110	742	0	289	0	0	0	0	0	0	14	108	24	110	0	0	0	356	0	0	0	390	742	0	191	0	0	544	57	477	305	0	0	0	0	0	0	0	0	168	0	0	0	0	0	10	0	460	0	0	0	0	0	0	0	892	0	31	0	0	105	0	0	0	0	0	397	0	0	0	142	0	0	16	0	0	0	28	0	0	0	0	76	0	314	0	0	57	0	0	1629	0	0	0	42	0	0	0	200	38	0	541	0	0	0	0	0	0	0	79	632	361	0	55	0	0	179	0	26	361	0	0	0	0	327	0	0	99	0	0	0	0	0	386	74	49	0	0	0	271	11	0	0	0	118	121	0	0	0	16	0	40	232	0	0	22	0	0	17	0	0	46	0	0	0	0	15	0	638	0	56	0	147	30	1244
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	17	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	10	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	15	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	11	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp900322125	0	0	0	0	25	0	0	0	0	0	825	0	307	0	0	372	0	0	0	0	0	0	0	897	207	184	33	0	0	0	0	0	0	0	0	60	14	86	113	0	0	0	24	203	0	0	0	0	43	83	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	222	34	52	0	129	0	0	0	0	113	321	318	0	0	0	55	238	0	23	44	0	0	0	13	0	185	86	23	0	0	290	0	0	17	0	570	0	84	51	670	255	0	0	289	78	0	0	0	0	0	0	112	0	506	51	0	0	0	0	0	0	31	0	0	0	133	0	0	0	27	0	0	91	0	0	0	34	0	0	0	0	0	448	0	106	0	969	0	0	0	0	0	0	25	0	0	0	44	0	0	0	0	0	0	0	28	0	13	0	0	142	0	0	0	230	0	0	0	0	132	36	40	0	0	0	272	294	0	0	0	0	816	0	71	0	0	323	60	0	238	0	0	0	264	309	247	233	68	0	1399	19	117	18	409	0	0	94	0	208	0	86	0	0	125	0	0	0	121	384	0	0	0	0	17	0	36	0	0	0	0	0	0	20	0	12	0	0	0	0	0	0	0	874	0	97	0	39	0	0	131	0	0	57	91	0	0	0	0	0	29	0	0	0	0	0	0	42	0	28	0	0	94	0	1779	0	0	0	345	0	213	0	0	0	0	0	0	274	0	0	224	570	0	0	0	306	379	180	2459	0	14	0	62	0	830	102	0	0	0	0	0	272	0	0	0	91	194	206	173	0	0	189	0	0	0	0	20	0	0	0	114	0	0	0	111	0	0	0	94	0	0	98	0	0	0	0	0	0	52	0	0	42	338	0	0	108	0	0	0	0	0	0	18	0	1392	0
