reaction_id	min_flux	max_flux
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00009_GCF_000016525_1_ASM1652v1_genomic_e0	-6.479084	-0.002870
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00023_GCF_000016525_1_ASM1652v1_genomic_e0	-51.516161	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00028_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00030_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00034_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00039_GCF_000016525_1_ASM1652v1_genomic_e0	-6.730165	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00041_GCF_000016525_1_ASM1652v1_genomic_e0	-54.464273	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00051_GCF_000016525_1_ASM1652v1_genomic_e0	-6.893602	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00053_GCF_000016525_1_ASM1652v1_genomic_e0	-51.517392	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00064_GCF_000016525_1_ASM1652v1_genomic_e0	-14.860602	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00098_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00119_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000374	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00129_GCF_000016525_1_ASM1652v1_genomic_e0	-22.300342	9.119105
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00149_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000015	-0.000013
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00156_GCF_000016525_1_ASM1652v1_genomic_e0	-0.002987	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00161_GCF_000016525_1_ASM1652v1_genomic_e0	-17.328933	-0.000782
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00209_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00244_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000006	-0.000006
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00305_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00266_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00540_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd08305_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd10516_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00067_GCF_000016525_1_ASM1652v1_genomic_e0	-59.708120	75.470322
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00092_GCF_000016525_1_ASM1652v1_genomic_e0	-1.073519	5.477865
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00311_GCF_000016525_1_ASM1652v1_genomic_e0	-14.331762	66.921391
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00035_GCF_000016525_1_ASM1652v1_genomic_e0	-67.542429	66.536649
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00971_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00084_GCF_000016525_1_ASM1652v1_genomic_e0	-22.135181	13.622121
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00013_GCF_000016525_1_ASM1652v1_genomic_e0	-55.895958	78.078078
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00063_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01012_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00058_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd10515_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
