metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00009_medium	Phosphate	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00023_medium	L-Glutamate	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00028_medium	Heme	False	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	[]
cpd00030_medium	Mn2+	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00034_medium	Zn2+	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00039_medium	L-Lysine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00041_medium	L-Aspartate	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00051_medium	L-Arginine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00053_medium	L-Glutamine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00064_medium	Ornithine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00098_medium	Choline	False	[]	[]
cpd00119_medium	L-Histidine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00129_medium	L-Proline	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00149_medium	Co2+	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00156_medium	L-Valine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00161_medium	L-Threonine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00209_medium	Nitrate	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['GCF_000016525_1_ASM1652v1_genomic']
cpd00305_medium	Thiamin	False	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00067_medium	H+	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00092_medium	Uracil	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00311_medium	Guanosine	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00035_medium	L-Alanine	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00971_medium	Na+	False	[]	[]
cpd00084_medium	L-Cysteine	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00013_medium	NH3	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00063_medium	Ca2+	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd01012_medium	Cd2+	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd10515_medium	Fe2+	False	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00047_medium	Formate	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00106_medium	Fumarate	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00060_medium	L-Methionine	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd11574_medium	Molybdate	False	[]	[]
cpd00075_medium	Nitrite	False	[]	[]
cpd00065_medium	L-Tryptophan	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00132_medium	L-Asparagine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd01015_medium	Cyanate	False	[]	[]
cpd01107_medium	Decanoate	False	[]	[]
cpd01741_medium	ddca	False	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	[]
cpd03847_medium	Myristic acid	False	[]	[]
cpd15298_medium	tetradecenoate	False	[]	[]
cpd00214_medium	Palmitate	False	[]	[]
cpd15237_medium	hexadecenoate	False	[]	[]
cpd01080_medium	ocdca	False	[]	[]
cpd15269_medium	octadecenoate	False	[]	[]
cpd01113_medium	Hexanoate	False	[]	[]
cpd03846_medium	octanoate	False	[]	[]
cpd00531_medium	Hg2+	False	[]	[]
cpd00205_medium	K+	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00254_medium	Mg	False	[]	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00036_medium	Succinate	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic']
cpd04097_medium	Pb	False	[]	[]
cpd00010_medium	CoA	True	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
cpd00033_medium	Glycine	True	['GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_000025985_1_ASM2598v1_Bacteroides_fragilis']
