metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00009_medium	Phosphate	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00023_medium	L-Glutamate	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00028_medium	Heme	False	['IHE3034_Ecoli_pks']	[]
cpd00030_medium	Mn2+	False	[]	['IHE3034_Ecoli_pks']
cpd00034_medium	Zn2+	False	[]	['IHE3034_Ecoli_pks']
cpd00039_medium	L-Lysine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00041_medium	L-Aspartate	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00051_medium	L-Arginine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00053_medium	L-Glutamine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00064_medium	Ornithine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00098_medium	Choline	False	[]	[]
cpd00119_medium	L-Histidine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00129_medium	L-Proline	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00149_medium	Co2+	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00156_medium	L-Valine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00161_medium	L-Threonine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00209_medium	Nitrate	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['GCF_000016525_1_ASM1652v1_genomic']
cpd00305_medium	Thiamin	False	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['IHE3034_Ecoli_pks']
cpd00067_medium	H+	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00092_medium	Uracil	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00311_medium	Guanosine	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00035_medium	L-Alanine	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00971_medium	Na+	False	[]	[]
cpd00084_medium	L-Cysteine	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00013_medium	NH3	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00063_medium	Ca2+	False	[]	['IHE3034_Ecoli_pks']
cpd01012_medium	Cd2+	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['IHE3034_Ecoli_pks']
cpd10515_medium	Fe2+	False	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks']
cpd00047_medium	Formate	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00106_medium	Fumarate	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00060_medium	L-Methionine	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd11574_medium	Molybdate	False	[]	[]
cpd00075_medium	Nitrite	False	[]	[]
cpd00065_medium	L-Tryptophan	True	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd00132_medium	L-Asparagine	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic', 'IHE3034_Ecoli_pks']
cpd01015_medium	Cyanate	False	[]	[]
cpd01107_medium	Decanoate	False	[]	[]
cpd01741_medium	ddca	False	[]	[]
cpd03847_medium	Myristic acid	False	[]	[]
cpd15298_medium	tetradecenoate	False	[]	[]
cpd00214_medium	Palmitate	False	[]	[]
cpd15237_medium	hexadecenoate	False	[]	[]
cpd01080_medium	ocdca	False	[]	[]
cpd15269_medium	octadecenoate	False	[]	[]
cpd01113_medium	Hexanoate	False	[]	[]
cpd03846_medium	octanoate	False	[]	[]
cpd00531_medium	Hg2+	False	[]	[]
cpd00205_medium	K+	False	[]	['IHE3034_Ecoli_pks']
cpd00254_medium	Mg	False	[]	['IHE3034_Ecoli_pks']
cpd00036_medium	Succinate	True	['IHE3034_Ecoli_pks']	['GCF_000016525_1_ASM1652v1_genomic']
cpd04097_medium	Pb	False	[]	[]
