reaction_id	min_flux	max_flux
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00009_GCF_000016525_1_ASM1652v1_genomic_e0	-1.193268	-0.017923
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00023_GCF_000016525_1_ASM1652v1_genomic_e0	-6.264261	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00028_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00030_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00034_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00039_GCF_000016525_1_ASM1652v1_genomic_e0	-35.560875	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00041_GCF_000016525_1_ASM1652v1_genomic_e0	-15.417695	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00051_GCF_000016525_1_ASM1652v1_genomic_e0	-0.911931	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00053_GCF_000016525_1_ASM1652v1_genomic_e0	-6.264261	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00064_GCF_000016525_1_ASM1652v1_genomic_e0	-0.911931	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00098_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00119_GCF_000016525_1_ASM1652v1_genomic_e0	-0.002335	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00129_GCF_000016525_1_ASM1652v1_genomic_e0	-2.619349	5.847089
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00149_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000091	-0.000082
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00156_GCF_000016525_1_ASM1652v1_genomic_e0	-0.018668	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00161_GCF_000016525_1_ASM1652v1_genomic_e0	-0.855678	-0.004882
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00209_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00244_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000039	-0.000035
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00305_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00266_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00540_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd08305_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd10516_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00067_GCF_000016525_1_ASM1652v1_genomic_e0	-32.481762	32.984005
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00092_GCF_000016525_1_ASM1652v1_genomic_e0	-0.018170	2.762158
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00311_GCF_000016525_1_ASM1652v1_genomic_e0	-4.453508	4.413178
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00035_GCF_000016525_1_ASM1652v1_genomic_e0	-20.744791	40.768990
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00971_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000000	-0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00084_GCF_000016525_1_ASM1652v1_genomic_e0	-5.506594	8.889610
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00013_GCF_000016525_1_ASM1652v1_genomic_e0	-24.632549	36.710945
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00063_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01012_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00058_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd10515_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00047_GCF_000016525_1_ASM1652v1_genomic_e0	-26.824109	38.685004
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00106_GCF_000016525_1_ASM1652v1_genomic_e0	-6.759579	13.836200
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00060_GCF_000016525_1_ASM1652v1_genomic_e0	-0.567953	8.981963
GCF_000016525_1_ASM1652v1_genomic_TF_cpd11574_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00075_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00065_GCF_000016525_1_ASM1652v1_genomic_e0	-0.001553	15.521165
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00132_GCF_000016525_1_ASM1652v1_genomic_e0	-7.340848	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01015_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01107_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01741_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd03847_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd15298_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00214_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd15237_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01080_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd15269_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd01113_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd03846_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00531_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00205_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00254_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00036_GCF_000016525_1_ASM1652v1_genomic_e0	-9.437225	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd04097_GCF_000016525_1_ASM1652v1_genomic_e0	0.000000	0.000000
GCF_000016525_1_ASM1652v1_genomic_TF_cpd00010_GCF_000016525_1_ASM1652v1_genomic_e0	-0.000004	0.001260
