metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00009_medium	Phosphate	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00023_medium	L-Glutamate	True	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00028_medium	Heme	False	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	[]
cpd00030_medium	Mn2+	False	[]	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00034_medium	Zn2+	False	[]	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00039_medium	L-Lysine	True	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00041_medium	L-Aspartate	True	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00051_medium	L-Arginine	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00053_medium	L-Glutamine	True	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00064_medium	Ornithine	True	['GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']	['GCF_000016525_1_ASM1652v1_genomic']
cpd00098_medium	Choline	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
cpd00129_medium	L-Proline	True	['GCF_000016525_1_ASM1652v1_genomic']	['GCF_000016525_1_ASM1652v1_genomic', 'GCA_003019295_1_ASM301929v1_Fusobacterium_nucleatum']
