metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00009_medium	Phosphate	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00023_medium	L-Glutamate	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00030_medium	Mn2+	False	[]	['Akkermansia_muciniphila']
cpd00034_medium	Zn2+	False	[]	['Akkermansia_muciniphila']
cpd00039_medium	L-Lysine	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00041_medium	L-Aspartate	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00051_medium	L-Arginine	False	[]	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00053_medium	L-Glutamine	True	['Akkermansia_muciniphila']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	False	[]	[]
cpd00119_medium	L-Histidine	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00129_medium	L-Proline	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00149_medium	Co2+	False	[]	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00156_medium	L-Valine	False	[]	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00161_medium	L-Threonine	False	[]	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00179_medium	Maltose	False	[]	['Akkermansia_muciniphila']
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd10516_medium	fe3	False	[]	['Akkermansia_muciniphila']
cpd00067_medium	H+	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00311_medium	Guanosine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00130_medium	L-Malate	False	['Akkermansia_muciniphila']	[]
cpd00971_medium	Na+	False	[]	[]
cpd00137_medium	Citrate	False	['Akkermansia_muciniphila']	[]
cpd00035_medium	L-Alanine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00084_medium	L-Cysteine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00246_medium	Inosine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd00182_medium	Adenosine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00232_medium	Neu5Ac	False	[]	[]
cpd00029_medium	Acetate	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00224_medium	L-Arabinose	False	[]	[]
cpd04098_medium	Arsenite	False	[]	[]
cpd00132_medium	L-Asparagine	True	['Akkermansia_muciniphila']	['Methanobrevibacter_smithii']
cpd00063_medium	Ca2+	False	[]	['Akkermansia_muciniphila']
cpd01012_medium	Cd2+	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['Akkermansia_muciniphila']
cpd10515_medium	Fe2+	False	[]	['Akkermansia_muciniphila']
cpd00082_medium	D-Fructose	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00106_medium	Fumarate	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00281_medium	GABA	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila']
cpd00033_medium	Glycine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00060_medium	L-Methionine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00012_medium	PPi	False	['Akkermansia_muciniphila']	[]
cpd01132_medium	Puromycin	False	[]	[]
cpd00396_medium	L-Rhamnose	False	[]	[]
cpd00048_medium	Sulfate	False	[]	['Akkermansia_muciniphila']
cpd00036_medium	Succinate	True	['Akkermansia_muciniphila']	['Methanobrevibacter_smithii']
cpd01217_medium	Xanthosine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00099_medium	Cl-	False	[]	['Akkermansia_muciniphila']
cpd00277_medium	Deoxyguanosine	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01107_medium	Decanoate	False	[]	['Akkermansia_muciniphila']
cpd01741_medium	ddca	False	[]	[]
cpd03847_medium	Myristic acid	False	[]	['Akkermansia_muciniphila']
cpd15298_medium	tetradecenoate	False	[]	[]
cpd00214_medium	Palmitate	False	[]	[]
cpd15237_medium	hexadecenoate	False	[]	[]
cpd01080_medium	ocdca	False	[]	['Akkermansia_muciniphila']
cpd15269_medium	octadecenoate	False	[]	[]
cpd01113_medium	Hexanoate	False	[]	[]
cpd03846_medium	octanoate	False	[]	[]
cpd00531_medium	Hg2+	False	[]	[]
cpd00205_medium	K+	False	[]	['Akkermansia_muciniphila']
cpd00254_medium	Mg	False	[]	['Akkermansia_muciniphila']
cpd00305_medium	Thiamin	False	[]	['Akkermansia_muciniphila']
cpd04097_medium	Pb	False	[]	[]
cpd00054_medium	L-Serine	True	['Akkermansia_muciniphila']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00185_medium	D-Arabinose	False	[]	[]
cpd11451_medium	mql7	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd11606_medium	Menaquinone 7	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd17026_medium	methymenaquinol 7	False	[]	[]
cpd17027_medium	methylmenaquinone 7	False	[]	[]
cpd00138_medium	D-Mannose	False	[]	[]
cpd02733_medium	Deoxycholate	False	[]	[]
cpd00001_medium	H2O	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd11842_medium	core3	False	[]	[]
cpd00122_medium	acgam	False	[]	[]
cpd21520_medium	Tn_antigen	False	[]	[]
cpd02992_medium	core4	False	[]	[]
cpd00832_medium	acgal	False	[]	[]
cpd90017_medium	Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site)	False	[]	[]
cpd90008_medium	Maltotridecaose	False	[]	[]
cpd00027_medium	D-Glucose	False	[]	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd90005_medium	Maltooctaose	False	[]	[]
cpd90007_medium	Maltohexaose	False	[]	[]
cpd90006_medium	Maltoundecaose	False	[]	[]
cpd23431_medium	3-dehydrocholate	False	['Akkermansia_muciniphila']	[]
cpd23430_medium	isocholate	False	['Akkermansia_muciniphila']	[]
cpd00013_medium	NH3	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00011_medium	CO2	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00007_medium	O2	False	[]	[]
cpd01981_medium	5-Methylthio-D-ribose	False	[]	[]
cpd00141_medium	Propionate	True	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']
cpd00073_medium	Urea	False	['Akkermansia_muciniphila', 'Methanobrevibacter_smithii']	[]
cpd01861_medium	(R)-1,2-Propanediol	False	[]	[]
cpd00453_medium	1,2-Propanediol	False	[]	[]
