metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd01663_medium	Chenodiol	True	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00526_medium	Cholate	True	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00009_medium	Phosphate	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00023_medium	L-Glutamate	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00028_medium	Heme	False	['Bacteroides_fragilis']	[]
cpd00030_medium	Mn2+	False	[]	['Bacteroides_fragilis']
cpd00034_medium	Zn2+	False	[]	['Bacteroides_fragilis']
cpd00039_medium	L-Lysine	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00041_medium	L-Aspartate	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00048_medium	Sulfate	False	[]	['Bacteroides_fragilis']
cpd00051_medium	L-Arginine	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii', 'Bacteroides_fragilis']
cpd00053_medium	L-Glutamine	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	True	['Bacteroides_fragilis']	['Methanobrevibacter_smithii']
