reaction_id	min_flux	max_flux
IHE3034_Ecoli_pks_TF_cpd00794_IHE3034_Ecoli_pks_e0	0.000000	92.877700
IHE3034_Ecoli_pks_TF_cpd00009_IHE3034_Ecoli_pks_e0	-6.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00023_IHE3034_Ecoli_pks_e0	-9.000000	522.600000
IHE3034_Ecoli_pks_TF_cpd00027_IHE3034_Ecoli_pks_e0	-2.000000	-0.000000
IHE3034_Ecoli_pks_TF_cpd00028_IHE3034_Ecoli_pks_e0	0.000000	0.200000
IHE3034_Ecoli_pks_TF_cpd00030_IHE3034_Ecoli_pks_e0	-0.042498	0.000000
IHE3034_Ecoli_pks_TF_cpd00034_IHE3034_Ecoli_pks_e0	-0.042498	0.000000
IHE3034_Ecoli_pks_TF_cpd00039_IHE3034_Ecoli_pks_e0	-3.000000	24.100000
IHE3034_Ecoli_pks_TF_cpd00041_IHE3034_Ecoli_pks_e0	-4.000000	525.100000
IHE3034_Ecoli_pks_TF_cpd00048_IHE3034_Ecoli_pks_e0	-0.100000	0.000000
IHE3034_Ecoli_pks_TF_cpd00051_IHE3034_Ecoli_pks_e0	-2.000000	25.100000
IHE3034_Ecoli_pks_TF_cpd00053_IHE3034_Ecoli_pks_e0	0.000000	513.550000
IHE3034_Ecoli_pks_TF_cpd00064_IHE3034_Ecoli_pks_e0	0.000000	513.550000
IHE3034_Ecoli_pks_TF_cpd00098_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00105_IHE3034_Ecoli_pks_e0	0.000000	525.145910
IHE3034_Ecoli_pks_TF_cpd00107_IHE3034_Ecoli_pks_e0	-4.000000	50.200000
IHE3034_Ecoli_pks_TF_cpd00108_IHE3034_Ecoli_pks_e0	-0.100000	197.683651
IHE3034_Ecoli_pks_TF_cpd00118_IHE3034_Ecoli_pks_e0	0.000000	27.100000
IHE3034_Ecoli_pks_TF_cpd00119_IHE3034_Ecoli_pks_e0	-0.523938	18.066667
IHE3034_Ecoli_pks_TF_cpd00129_IHE3034_Ecoli_pks_e0	-437.144595	506.852548
IHE3034_Ecoli_pks_TF_cpd00149_IHE3034_Ecoli_pks_e0	-0.042498	-0.000000
IHE3034_Ecoli_pks_TF_cpd00154_IHE3034_Ecoli_pks_e0	0.000000	0.100000
IHE3034_Ecoli_pks_TF_cpd00156_IHE3034_Ecoli_pks_e0	-3.000000	51.200000
IHE3034_Ecoli_pks_TF_cpd00161_IHE3034_Ecoli_pks_e0	-2.000000	526.100000
IHE3034_Ecoli_pks_TF_cpd00179_IHE3034_Ecoli_pks_e0	-0.100000	92.777700
IHE3034_Ecoli_pks_TF_cpd00209_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00210_IHE3034_Ecoli_pks_e0	-1.000000	0.100000
IHE3034_Ecoli_pks_TF_cpd00224_IHE3034_Ecoli_pks_e0	0.000000	0.100000
IHE3034_Ecoli_pks_TF_cpd00244_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00264_IHE3034_Ecoli_pks_e0	0.000000	2.200000
IHE3034_Ecoli_pks_TF_cpd00268_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00305_IHE3034_Ecoli_pks_e0	-0.019739	1.200000
IHE3034_Ecoli_pks_TF_cpd00322_IHE3034_Ecoli_pks_e0	-2.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00266_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00540_IHE3034_Ecoli_pks_e0	0.000000	-0.000000
IHE3034_Ecoli_pks_TF_cpd03424_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd03724_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd08305_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd10516_IHE3034_Ecoli_pks_e0	-0.100000	0.000000
IHE3034_Ecoli_pks_TF_cpd00067_IHE3034_Ecoli_pks_e0	-527.250000	889.984020
IHE3034_Ecoli_pks_TF_cpd00092_IHE3034_Ecoli_pks_e0	-206.255362	27.100000
IHE3034_Ecoli_pks_TF_cpd00367_IHE3034_Ecoli_pks_e0	-2.600019	18.066667
IHE3034_Ecoli_pks_TF_cpd00249_IHE3034_Ecoli_pks_e0	0.000000	27.100000
IHE3034_Ecoli_pks_TF_cpd00184_IHE3034_Ecoli_pks_e0	0.000000	27.100000
IHE3034_Ecoli_pks_TF_cpd00309_IHE3034_Ecoli_pks_e0	-500.000000	448.088836
IHE3034_Ecoli_pks_TF_cpd00311_IHE3034_Ecoli_pks_e0	-500.000000	505.420000
IHE3034_Ecoli_pks_TF_cpd00130_IHE3034_Ecoli_pks_e0	0.000000	312.220000
IHE3034_Ecoli_pks_TF_cpd00971_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00137_IHE3034_Ecoli_pks_e0	0.000000	223.014286
IHE3034_Ecoli_pks_TF_cpd00035_IHE3034_Ecoli_pks_e0	-501.500000	525.600000
IHE3034_Ecoli_pks_TF_cpd00060_IHE3034_Ecoli_pks_e0	-500.500000	500.600000
IHE3034_Ecoli_pks_TF_cpd00220_IHE3034_Ecoli_pks_e0	-0.039478	13.550000
IHE3034_Ecoli_pks_TF_cpd00084_IHE3034_Ecoli_pks_e0	-419.936111	500.550000
IHE3034_Ecoli_pks_TF_cpd00069_IHE3034_Ecoli_pks_e0	-1.404434	54.200000
IHE3034_Ecoli_pks_TF_cpd00066_IHE3034_Ecoli_pks_e0	-1.024589	54.200000
IHE3034_Ecoli_pks_TF_cpd00054_IHE3034_Ecoli_pks_e0	-3.000000	525.600000
IHE3034_Ecoli_pks_TF_cpd00644_IHE3034_Ecoli_pks_e0	-0.100000	54.200000
IHE3034_Ecoli_pks_TF_cpd00246_IHE3034_Ecoli_pks_e0	-500.000000	506.775000
IHE3034_Ecoli_pks_TF_cpd00182_IHE3034_Ecoli_pks_e0	-500.000000	500.020903
IHE3034_Ecoli_pks_TF_cpd00013_IHE3034_Ecoli_pks_e0	-500.000000	527.100000
IHE3034_Ecoli_pks_TF_cpd00020_IHE3034_Ecoli_pks_e0	0.000000	507.366667
IHE3034_Ecoli_pks_TF_cpd00139_IHE3034_Ecoli_pks_e0	0.000000	481.366886
IHE3034_Ecoli_pks_TF_cpd00122_IHE3034_Ecoli_pks_e0	0.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00232_IHE3034_Ecoli_pks_e0	0.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00029_IHE3034_Ecoli_pks_e0	-500.500000	865.662500
IHE3034_Ecoli_pks_TF_cpd00024_IHE3034_Ecoli_pks_e0	0.000000	304.420000
IHE3034_Ecoli_pks_TF_cpd00117_IHE3034_Ecoli_pks_e0	0.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd04098_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00132_IHE3034_Ecoli_pks_e0	0.000000	513.229167
IHE3034_Ecoli_pks_TF_cpd00063_IHE3034_Ecoli_pks_e0	-0.042498	-0.000000
IHE3034_Ecoli_pks_TF_cpd01012_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00158_IHE3034_Ecoli_pks_e0	-100.000000	-0.000000
IHE3034_Ecoli_pks_TF_cpd00307_IHE3034_Ecoli_pks_e0	0.000000	18.066667
IHE3034_Ecoli_pks_TF_cpd00058_IHE3034_Ecoli_pks_e0	-0.042498	0.000000
IHE3034_Ecoli_pks_TF_cpd10515_IHE3034_Ecoli_pks_e0	-0.100000	0.100000
IHE3034_Ecoli_pks_TF_cpd00082_IHE3034_Ecoli_pks_e0	-1.000000	565.718694
IHE3034_Ecoli_pks_TF_cpd00106_IHE3034_Ecoli_pks_e0	-500.000000	690.262500
IHE3034_Ecoli_pks_TF_cpd00281_IHE3034_Ecoli_pks_e0	-500.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00276_IHE3034_Ecoli_pks_e0	0.000000	54.200000
IHE3034_Ecoli_pks_TF_cpd00870_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00222_IHE3034_Ecoli_pks_e0	0.000000	200.709412
IHE3034_Ecoli_pks_TF_cpd00609_IHE3034_Ecoli_pks_e0	0.000000	0.000000
IHE3034_Ecoli_pks_TF_cpd00164_IHE3034_Ecoli_pks_e0	0.000000	175.698803
IHE3034_Ecoli_pks_TF_cpd00080_IHE3034_Ecoli_pks_e0	0.000000	6.000000
IHE3034_Ecoli_pks_TF_cpd00100_IHE3034_Ecoli_pks_e0	-500.000000	567.082853
IHE3034_Ecoli_pks_TF_cpd00033_IHE3034_Ecoli_pks_e0	-5.000000	524.600000
