metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00794_medium	TRHL	False	['IHE3034_Ecoli_pks']	[]
cpd00009_medium	Phosphate	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00023_medium	L-Glutamate	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00027_medium	D-Glucose	False	[]	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00028_medium	Heme	False	['IHE3034_Ecoli_pks']	[]
cpd00030_medium	Mn2+	False	[]	['IHE3034_Ecoli_pks']
cpd00034_medium	Zn2+	False	[]	['IHE3034_Ecoli_pks']
cpd00039_medium	L-Lysine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00041_medium	L-Aspartate	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00048_medium	Sulfate	False	[]	['IHE3034_Ecoli_pks']
cpd00051_medium	L-Arginine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00053_medium	L-Glutamine	True	['IHE3034_Ecoli_pks']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	True	['IHE3034_Ecoli_pks']	['Methanobrevibacter_smithii']
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['IHE3034_Ecoli_pks']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00108_medium	Galactose	False	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks']
cpd00118_medium	Putrescine	False	['IHE3034_Ecoli_pks']	[]
cpd00119_medium	L-Histidine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00129_medium	L-Proline	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00149_medium	Co2+	False	[]	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00154_medium	Xylose	False	['IHE3034_Ecoli_pks']	[]
cpd00156_medium	L-Valine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00161_medium	L-Threonine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00179_medium	Maltose	False	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks']
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00224_medium	L-Arabinose	False	['IHE3034_Ecoli_pks']	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00264_medium	Spermidine	False	['IHE3034_Ecoli_pks']	[]
cpd00268_medium	H2S2O3	False	[]	[]
cpd00305_medium	Thiamin	False	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks']
cpd00322_medium	L-Isoleucine	True	['IHE3034_Ecoli_pks']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd03724_medium	Ferrichrome	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['IHE3034_Ecoli_pks']
cpd00067_medium	H+	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00092_medium	Uracil	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00367_medium	Cytidine	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks']
cpd00249_medium	Uridine	False	['IHE3034_Ecoli_pks']	[]
cpd00184_medium	Thymidine	False	['IHE3034_Ecoli_pks']	[]
cpd00309_medium	XAN	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00311_medium	Guanosine	True	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']	['IHE3034_Ecoli_pks', 'Methanobrevibacter_smithii']
cpd00130_medium	L-Malate	False	['IHE3034_Ecoli_pks']	[]
cpd00971_medium	Na+	False	[]	[]
cpd00137_medium	Citrate	False	['IHE3034_Ecoli_pks']	[]
