reaction_id	min_flux	max_flux
Fusobacterium_nucleatum_TF_cpd00009_Fusobacterium_nucleatum_e0	-6.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00023_Fusobacterium_nucleatum_e0	-9.000000	1.000000
Fusobacterium_nucleatum_TF_cpd00027_Fusobacterium_nucleatum_e0	-2.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00028_Fusobacterium_nucleatum_e0	0.000000	0.100000
Fusobacterium_nucleatum_TF_cpd00030_Fusobacterium_nucleatum_e0	-0.008026	-0.000000
Fusobacterium_nucleatum_TF_cpd00034_Fusobacterium_nucleatum_e0	-0.008026	0.000000
Fusobacterium_nucleatum_TF_cpd00039_Fusobacterium_nucleatum_e0	-0.358440	0.000000
Fusobacterium_nucleatum_TF_cpd00041_Fusobacterium_nucleatum_e0	-4.000000	56.235714
Fusobacterium_nucleatum_TF_cpd00048_Fusobacterium_nucleatum_e0	-0.008026	0.000000
Fusobacterium_nucleatum_TF_cpd00051_Fusobacterium_nucleatum_e0	-2.000000	-0.000000
Fusobacterium_nucleatum_TF_cpd00053_Fusobacterium_nucleatum_e0	0.000000	10.000000
Fusobacterium_nucleatum_TF_cpd00064_Fusobacterium_nucleatum_e0	-0.000000	2.000000
Fusobacterium_nucleatum_TF_cpd00098_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00105_Fusobacterium_nucleatum_e0	-0.000000	18.722500
Fusobacterium_nucleatum_TF_cpd00107_Fusobacterium_nucleatum_e0	-0.562178	0.000000
Fusobacterium_nucleatum_TF_cpd00108_Fusobacterium_nucleatum_e0	-0.100000	0.000000
Fusobacterium_nucleatum_TF_cpd00118_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00119_Fusobacterium_nucleatum_e0	-1.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00129_Fusobacterium_nucleatum_e0	-0.230897	0.000000
Fusobacterium_nucleatum_TF_cpd00149_Fusobacterium_nucleatum_e0	-0.008026	0.000000
Fusobacterium_nucleatum_TF_cpd00154_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00156_Fusobacterium_nucleatum_e0	-0.442002	-0.000000
Fusobacterium_nucleatum_TF_cpd00161_Fusobacterium_nucleatum_e0	-2.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00179_Fusobacterium_nucleatum_e0	-0.100000	0.000000
Fusobacterium_nucleatum_TF_cpd00224_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00244_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00264_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00268_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00322_Fusobacterium_nucleatum_e0	-0.395053	-0.000000
Fusobacterium_nucleatum_TF_cpd00540_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd10516_Fusobacterium_nucleatum_e0	-0.008026	0.000000
Fusobacterium_nucleatum_TF_cpd00067_Fusobacterium_nucleatum_e0	-79.150000	99.204667
Fusobacterium_nucleatum_TF_cpd00092_Fusobacterium_nucleatum_e0	-0.702954	15.332727
Fusobacterium_nucleatum_TF_cpd00367_Fusobacterium_nucleatum_e0	-0.000000	0.358641
Fusobacterium_nucleatum_TF_cpd00311_Fusobacterium_nucleatum_e0	-15.952692	16.168750
Fusobacterium_nucleatum_TF_cpd00130_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00971_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00137_Fusobacterium_nucleatum_e0	0.000000	0.000000
Fusobacterium_nucleatum_TF_cpd00035_Fusobacterium_nucleatum_e0	-133.937500	69.392188
Fusobacterium_nucleatum_TF_cpd00060_Fusobacterium_nucleatum_e0	-26.548148	0.000000
Fusobacterium_nucleatum_TF_cpd00220_Fusobacterium_nucleatum_e0	-0.008685	3.499170
Fusobacterium_nucleatum_TF_cpd00084_Fusobacterium_nucleatum_e0	-30.794792	12.853150
