metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00009_medium	Phosphate	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00023_medium	L-Glutamate	True	['Fusobacterium_nucleatum']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00027_medium	D-Glucose	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00028_medium	Heme	False	['Fusobacterium_nucleatum']	[]
cpd00030_medium	Mn2+	False	[]	['Fusobacterium_nucleatum']
cpd00034_medium	Zn2+	False	[]	['Fusobacterium_nucleatum']
cpd00039_medium	L-Lysine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00041_medium	L-Aspartate	True	['Fusobacterium_nucleatum']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00048_medium	Sulfate	False	[]	['Fusobacterium_nucleatum']
cpd00051_medium	L-Arginine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00053_medium	L-Glutamine	True	['Fusobacterium_nucleatum']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	True	['Fusobacterium_nucleatum']	['Methanobrevibacter_smithii']
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Fusobacterium_nucleatum']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00108_medium	Galactose	False	[]	['Fusobacterium_nucleatum']
cpd00118_medium	Putrescine	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00149_medium	Co2+	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00161_medium	L-Threonine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00179_medium	Maltose	False	[]	['Fusobacterium_nucleatum']
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00264_medium	Spermidine	False	[]	[]
cpd00268_medium	H2S2O3	False	[]	[]
cpd00322_medium	L-Isoleucine	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00540_medium	BET	False	[]	[]
cpd10516_medium	fe3	False	[]	['Fusobacterium_nucleatum']
cpd00067_medium	H+	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00092_medium	Uracil	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00367_medium	Cytidine	False	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	[]
cpd00311_medium	Guanosine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00130_medium	L-Malate	False	[]	[]
cpd00971_medium	Na+	False	[]	[]
cpd00137_medium	Citrate	False	[]	[]
cpd00035_medium	L-Alanine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00060_medium	L-Methionine	True	['Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00220_medium	Riboflavin	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum']
cpd00084_medium	L-Cysteine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00644_medium	PAN	False	[]	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00246_medium	Inosine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00182_medium	Adenosine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00029_medium	Acetate	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00132_medium	L-Asparagine	True	['Fusobacterium_nucleatum']	['Methanobrevibacter_smithii']
cpd00063_medium	Ca2+	False	[]	['Fusobacterium_nucleatum']
cpd01012_medium	Cd2+	False	[]	[]
cpd00158_medium	CELB	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['Fusobacterium_nucleatum']
cpd10515_medium	Fe2+	False	[]	['Fusobacterium_nucleatum']
cpd00082_medium	D-Fructose	True	['Fusobacterium_nucleatum']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00106_medium	Fumarate	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00276_medium	GLUM	False	[]	[]
cpd00222_medium	GLCN	False	[]	[]
cpd00100_medium	Glycerol	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00033_medium	Glycine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00121_medium	L-Inositol	False	['Methanobrevibacter_smithii']	[]
cpd00205_medium	K+	False	[]	['Fusobacterium_nucleatum']
cpd00208_medium	LACT	False	[]	[]
cpd00159_medium	L-Lactate	False	['Fusobacterium_nucleatum']	[]
cpd01262_medium	Amylotriose	False	[]	[]
cpd00138_medium	D-Mannose	False	[]	[]
cpd00314_medium	D-Mannitol	False	[]	['Fusobacterium_nucleatum']
cpd11574_medium	Molybdate	False	[]	[]
cpd00141_medium	Propionate	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00012_medium	PPi	False	['Fusobacterium_nucleatum']	[]
cpd01132_medium	Puromycin	False	[]	[]
cpd00396_medium	L-Rhamnose	False	[]	[]
cpd00036_medium	Succinate	True	['Fusobacterium_nucleatum']	['Methanobrevibacter_smithii']
cpd01217_medium	Xanthosine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd00211_medium	Butyrate	False	['Fusobacterium_nucleatum']	['Fusobacterium_nucleatum']
cpd00751_medium	L-Fucose	False	[]	[]
cpd04098_medium	Arsenite	False	[]	[]
cpd00099_medium	Cl-	False	[]	['Fusobacterium_nucleatum']
cpd00277_medium	Deoxyguanosine	True	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd00221_medium	D-Lactate	False	['Fusobacterium_nucleatum']	[]
cpd01107_medium	Decanoate	False	[]	['Fusobacterium_nucleatum']
cpd01741_medium	ddca	False	[]	[]
cpd03847_medium	Myristic acid	False	[]	['Fusobacterium_nucleatum']
cpd15298_medium	tetradecenoate	False	[]	[]
cpd00214_medium	Palmitate	False	[]	[]
cpd15237_medium	hexadecenoate	False	[]	[]
cpd01080_medium	ocdca	False	[]	['Fusobacterium_nucleatum']
cpd15269_medium	octadecenoate	False	[]	[]
cpd01113_medium	Hexanoate	False	[]	[]
cpd03846_medium	octanoate	False	[]	['Fusobacterium_nucleatum']
cpd00531_medium	Hg2+	False	[]	[]
cpd01399_medium	Maltotetraose	False	[]	[]
cpd00254_medium	Mg	False	[]	['Fusobacterium_nucleatum']
cpd00305_medium	Thiamin	False	[]	['Fusobacterium_nucleatum']
cpd00017_medium	S-Adenosyl-L-methionine	False	['Fusobacterium_nucleatum']	[]
cpd04097_medium	Pb	False	[]	[]
cpd00185_medium	D-Arabinose	False	[]	[]
cpd15494_medium	Maltoheptaose	False	[]	[]
cpd00794_medium	TRHL	False	[]	[]
cpd00054_medium	L-Serine	True	['Fusobacterium_nucleatum']	['Fusobacterium_nucleatum', 'Methanobrevibacter_smithii']
cpd11976_medium	Maltodextrin	False	[]	[]
cpd00153_medium	Benzoate	False	[]	[]
cpd00210_medium	Taurine	False	['Methanobrevibacter_smithii']	[]
cpd00380_medium	Itaconate	False	['Fusobacterium_nucleatum']	[]
cpd00281_medium	GABA	False	['Methanobrevibacter_smithii']	[]
cpd01133_medium	Stachyose	False	[]	[]
cpd02733_medium	Deoxycholate	False	[]	[]
cpd01354_medium	beta-Lactose	False	[]	[]
cpd03808_medium	Lacto-N-biose	False	[]	[]
cpd00393_medium	Folate	False	[]	[]
cpd00832_medium	N-Acetyl-D-chondrosamine	False	[]	[]
