reaction_id	min_flux	max_flux
Methanobrevibacter_smithii_TF_cpd00001_Methanobrevibacter_smithii_e0	-150.533025	180.075000
Methanobrevibacter_smithii_TF_cpd03247_Methanobrevibacter_smithii_e0	-1.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00033_Methanobrevibacter_smithii_e0	-7.000000	2.000000
Methanobrevibacter_smithii_TF_cpd01663_Methanobrevibacter_smithii_e0	-3.000000	1.000000
Methanobrevibacter_smithii_TF_cpd01318_Methanobrevibacter_smithii_e0	-1.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00526_Methanobrevibacter_smithii_e0	-1.000000	2.000000
Methanobrevibacter_smithii_TF_cpd00009_Methanobrevibacter_smithii_e0	-11.744262	-0.000000
Methanobrevibacter_smithii_TF_cpd00023_Methanobrevibacter_smithii_e0	-9.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00027_Methanobrevibacter_smithii_e0	-2.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00028_Methanobrevibacter_smithii_e0	-0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00030_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00034_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00039_Methanobrevibacter_smithii_e0	-0.652404	0.000000
Methanobrevibacter_smithii_TF_cpd00041_Methanobrevibacter_smithii_e0	-4.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00048_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00051_Methanobrevibacter_smithii_e0	-2.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00053_Methanobrevibacter_smithii_e0	-9.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00064_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00073_Methanobrevibacter_smithii_e0	0.000000	20.050000
Methanobrevibacter_smithii_TF_cpd00098_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00105_Methanobrevibacter_smithii_e0	-17.534091	-0.000000
Methanobrevibacter_smithii_TF_cpd00107_Methanobrevibacter_smithii_e0	-0.700302	0.000000
Methanobrevibacter_smithii_TF_cpd00108_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00119_Methanobrevibacter_smithii_e0	-0.165166	0.000000
Methanobrevibacter_smithii_TF_cpd00129_Methanobrevibacter_smithii_e0	-5.000000	19.653846
Methanobrevibacter_smithii_TF_cpd00149_Methanobrevibacter_smithii_e0	-0.006423	-0.000000
Methanobrevibacter_smithii_TF_cpd00154_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00156_Methanobrevibacter_smithii_e0	-1.311965	0.000000
Methanobrevibacter_smithii_TF_cpd00161_Methanobrevibacter_smithii_e0	-2.000000	-0.000000
Methanobrevibacter_smithii_TF_cpd00179_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00209_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00210_Methanobrevibacter_smithii_e0	-0.028113	1.000000
Methanobrevibacter_smithii_TF_cpd00224_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00244_Methanobrevibacter_smithii_e0	-0.002733	0.000000
Methanobrevibacter_smithii_TF_cpd00305_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00322_Methanobrevibacter_smithii_e0	-0.545046	0.000000
Methanobrevibacter_smithii_TF_cpd00266_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00540_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd03424_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd08305_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd10516_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00067_Methanobrevibacter_smithii_e0	-119.967204	172.675000
Methanobrevibacter_smithii_TF_cpd00092_Methanobrevibacter_smithii_e0	-1.141129	9.379518
Methanobrevibacter_smithii_TF_cpd00367_Methanobrevibacter_smithii_e0	0.000000	0.637517
Methanobrevibacter_smithii_TF_cpd00309_Methanobrevibacter_smithii_e0	-22.796875	9.884766
Methanobrevibacter_smithii_TF_cpd00311_Methanobrevibacter_smithii_e0	-15.064815	13.691667
Methanobrevibacter_smithii_TF_cpd00035_Methanobrevibacter_smithii_e0	-120.843056	95.414286
Methanobrevibacter_smithii_TF_cpd00971_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00060_Methanobrevibacter_smithii_e0	-1.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00104_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00220_Methanobrevibacter_smithii_e0	0.000000	2.941509
Methanobrevibacter_smithii_TF_cpd00084_Methanobrevibacter_smithii_e0	-0.100000	24.014706
Methanobrevibacter_smithii_TF_cpd00069_Methanobrevibacter_smithii_e0	-0.224961	6.202918
Methanobrevibacter_smithii_TF_cpd00644_Methanobrevibacter_smithii_e0	-0.100000	0.000000
Methanobrevibacter_smithii_TF_cpd00246_Methanobrevibacter_smithii_e0	-25.234375	28.410714
Methanobrevibacter_smithii_TF_cpd00182_Methanobrevibacter_smithii_e0	-9.379699	5.953152
