metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd01663_medium	Chenodiol	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00526_medium	Cholate	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii']
cpd00009_medium	Phosphate	True	['Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00023_medium	L-Glutamate	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00028_medium	Heme	False	['Parviromonas_micra']	[]
cpd00030_medium	Mn2+	False	[]	['Parviromonas_micra']
cpd00034_medium	Zn2+	False	[]	['Parviromonas_micra']
cpd00039_medium	L-Lysine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00041_medium	L-Aspartate	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00048_medium	Sulfate	False	[]	['Parviromonas_micra']
cpd00051_medium	L-Arginine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00053_medium	L-Glutamine	True	['Parviromonas_micra']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	False	[]	[]
cpd00073_medium	Urea	False	['Methanobrevibacter_smithii', 'Parviromonas_micra']	[]
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Parviromonas_micra']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00108_medium	Galactose	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00149_medium	Co2+	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00161_medium	L-Threonine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00179_medium	Maltose	False	[]	[]
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii']
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00305_medium	Thiamin	False	[]	['Parviromonas_micra']
cpd00322_medium	L-Isoleucine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['Parviromonas_micra']
cpd00067_medium	H+	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00092_medium	Uracil	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00367_medium	Cytidine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Parviromonas_micra']
cpd00309_medium	XAN	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00311_medium	Guanosine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00035_medium	L-Alanine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00971_medium	Na+	False	[]	[]
cpd00060_medium	L-Methionine	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00104_medium	BIOT	False	[]	[]
cpd00220_medium	Riboflavin	True	['Methanobrevibacter_smithii']	['Parviromonas_micra']
cpd00084_medium	L-Cysteine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00644_medium	PAN	False	[]	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00246_medium	Inosine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00182_medium	Adenosine	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00013_medium	NH3	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd04098_medium	Arsenite	False	[]	[]
cpd00063_medium	Ca2+	False	[]	['Parviromonas_micra']
cpd01012_medium	Cd2+	False	[]	[]
cpd00158_medium	CELB	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['Parviromonas_micra']
cpd00363_medium	Ethanol	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd10515_medium	Fe2+	False	[]	['Parviromonas_micra']
cpd00047_medium	Formate	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00082_medium	D-Fructose	True	['Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00106_medium	Fumarate	True	['Methanobrevibacter_smithii', 'Parviromonas_micra']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
cpd00281_medium	GABA	False	['Methanobrevibacter_smithii', 'Parviromonas_micra']	[]
cpd00100_medium	Glycerol	False	['Methanobrevibacter_smithii']	[]
cpd00121_medium	L-Inositol	False	['Methanobrevibacter_smithii']	[]
cpd00205_medium	K+	False	[]	['Parviromonas_micra']
cpd00208_medium	LACT	False	[]	[]
cpd11574_medium	Molybdate	False	[]	[]
cpd00075_medium	Nitrite	False	[]	[]
cpd01132_medium	Puromycin	False	[]	[]
cpd00396_medium	L-Rhamnose	False	[]	[]
cpd00065_medium	L-Tryptophan	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Parviromonas_micra']
