reaction_id	min_flux	max_flux
Peptostreptococcus_stomatis_TF_cpd00794_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00009_Peptostreptococcus_stomatis_e0	-6.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00023_Peptostreptococcus_stomatis_e0	-9.000000	4.000000
Peptostreptococcus_stomatis_TF_cpd00027_Peptostreptococcus_stomatis_e0	-2.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00028_Peptostreptococcus_stomatis_e0	0.000000	0.100000
Peptostreptococcus_stomatis_TF_cpd00030_Peptostreptococcus_stomatis_e0	-0.009713	0.000000
Peptostreptococcus_stomatis_TF_cpd00034_Peptostreptococcus_stomatis_e0	-0.009713	0.000000
Peptostreptococcus_stomatis_TF_cpd00039_Peptostreptococcus_stomatis_e0	-0.500151	0.000000
Peptostreptococcus_stomatis_TF_cpd00041_Peptostreptococcus_stomatis_e0	-4.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00048_Peptostreptococcus_stomatis_e0	-0.009713	0.000000
Peptostreptococcus_stomatis_TF_cpd00051_Peptostreptococcus_stomatis_e0	-0.312580	0.000000
Peptostreptococcus_stomatis_TF_cpd00053_Peptostreptococcus_stomatis_e0	0.000000	13.000000
Peptostreptococcus_stomatis_TF_cpd00064_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00098_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00108_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00118_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00119_Peptostreptococcus_stomatis_e0	-0.126620	0.000000
Peptostreptococcus_stomatis_TF_cpd00129_Peptostreptococcus_stomatis_e0	-0.248809	0.000000
Peptostreptococcus_stomatis_TF_cpd00149_Peptostreptococcus_stomatis_e0	-0.009713	0.000000
Peptostreptococcus_stomatis_TF_cpd00154_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00156_Peptostreptococcus_stomatis_e0	-0.475460	0.000000
Peptostreptococcus_stomatis_TF_cpd00161_Peptostreptococcus_stomatis_e0	-2.000000	4.000000
Peptostreptococcus_stomatis_TF_cpd00179_Peptostreptococcus_stomatis_e0	-0.100000	0.000000
Peptostreptococcus_stomatis_TF_cpd00210_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00224_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00244_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00264_Peptostreptococcus_stomatis_e0	-0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00268_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00305_Peptostreptococcus_stomatis_e0	-0.006878	0.000000
Peptostreptococcus_stomatis_TF_cpd00540_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd03724_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd10516_Peptostreptococcus_stomatis_e0	-0.009713	0.000000
Peptostreptococcus_stomatis_TF_cpd00067_Peptostreptococcus_stomatis_e0	-50.237500	62.133333
Peptostreptococcus_stomatis_TF_cpd00309_Peptostreptococcus_stomatis_e0	-16.725000	26.762500
Peptostreptococcus_stomatis_TF_cpd00311_Peptostreptococcus_stomatis_e0	-3.858106	0.000000
Peptostreptococcus_stomatis_TF_cpd00130_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00971_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00137_Peptostreptococcus_stomatis_e0	0.000000	4.000000
Peptostreptococcus_stomatis_TF_cpd00035_Peptostreptococcus_stomatis_e0	-128.527083	40.356250
Peptostreptococcus_stomatis_TF_cpd00060_Peptostreptococcus_stomatis_e0	-0.301609	-0.000000
Peptostreptococcus_stomatis_TF_cpd00104_Peptostreptococcus_stomatis_e0	0.000000	0.000000
Peptostreptococcus_stomatis_TF_cpd00084_Peptostreptococcus_stomatis_e0	-23.366667	26.943750
Peptostreptococcus_stomatis_TF_cpd00069_Peptostreptococcus_stomatis_e0	-0.171571	0.000000
Peptostreptococcus_stomatis_TF_cpd00644_Peptostreptococcus_stomatis_e0	-0.100000	0.000000
Peptostreptococcus_stomatis_TF_cpd00246_Peptostreptococcus_stomatis_e0	-3.925162	41.219231
