metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00794_medium	TRHL	False	[]	[]
cpd00009_medium	Phosphate	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00023_medium	L-Glutamate	True	['Peptostreptococcus_stomatis']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00027_medium	D-Glucose	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00028_medium	Heme	False	['Peptostreptococcus_stomatis']	[]
cpd00030_medium	Mn2+	False	[]	['Peptostreptococcus_stomatis']
cpd00034_medium	Zn2+	False	[]	['Peptostreptococcus_stomatis']
cpd00039_medium	L-Lysine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00041_medium	L-Aspartate	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00048_medium	Sulfate	False	[]	['Peptostreptococcus_stomatis']
cpd00051_medium	L-Arginine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00053_medium	L-Glutamine	True	['Peptostreptococcus_stomatis']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	False	[]	[]
cpd00098_medium	Choline	False	[]	[]
cpd00108_medium	Galactose	False	[]	[]
cpd00118_medium	Putrescine	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00149_medium	Co2+	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00161_medium	L-Threonine	True	['Peptostreptococcus_stomatis']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00179_medium	Maltose	False	[]	['Peptostreptococcus_stomatis']
cpd00210_medium	Taurine	False	['Methanobrevibacter_smithii']	[]
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00264_medium	Spermidine	False	[]	[]
cpd00268_medium	H2S2O3	False	[]	[]
cpd00305_medium	Thiamin	False	[]	['Peptostreptococcus_stomatis']
cpd00540_medium	BET	False	[]	[]
cpd03724_medium	Ferrichrome	False	[]	[]
cpd10516_medium	fe3	False	[]	['Peptostreptococcus_stomatis']
cpd00067_medium	H+	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00309_medium	XAN	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00311_medium	Guanosine	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis']
cpd00130_medium	L-Malate	False	[]	[]
cpd00971_medium	Na+	False	[]	[]
cpd00137_medium	Citrate	False	['Peptostreptococcus_stomatis']	[]
cpd00035_medium	L-Alanine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00060_medium	L-Methionine	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00104_medium	BIOT	False	[]	[]
cpd00084_medium	L-Cysteine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00644_medium	PAN	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00246_medium	Inosine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00182_medium	Adenosine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00029_medium	Acetate	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00132_medium	L-Asparagine	True	['Peptostreptococcus_stomatis']	['Methanobrevibacter_smithii']
cpd00063_medium	Ca2+	False	[]	['Peptostreptococcus_stomatis']
cpd01012_medium	Cd2+	False	[]	[]
cpd00158_medium	CELB	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['Peptostreptococcus_stomatis']
cpd10515_medium	Fe2+	False	[]	['Peptostreptococcus_stomatis']
cpd00047_medium	Formate	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00082_medium	D-Fructose	True	['Peptostreptococcus_stomatis']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00106_medium	Fumarate	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00276_medium	GLUM	False	[]	[]
cpd00033_medium	Glycine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00121_medium	L-Inositol	False	['Methanobrevibacter_smithii']	[]
cpd00205_medium	K+	False	[]	['Peptostreptococcus_stomatis']
cpd00208_medium	LACT	False	[]	[]
cpd01262_medium	Amylotriose	False	[]	[]
cpd00314_medium	D-Mannitol	False	[]	['Peptostreptococcus_stomatis']
cpd11574_medium	Molybdate	False	[]	[]
cpd00075_medium	Nitrite	False	[]	[]
cpd01132_medium	Puromycin	False	[]	[]
cpd00036_medium	Succinate	True	['Peptostreptococcus_stomatis']	['Methanobrevibacter_smithii']
cpd01217_medium	Xanthosine	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00751_medium	L-Fucose	False	[]	[]
cpd00099_medium	Cl-	False	[]	['Peptostreptococcus_stomatis']
cpd00277_medium	Deoxyguanosine	False	['Methanobrevibacter_smithii']	[]
cpd00531_medium	Hg2+	False	[]	[]
cpd01399_medium	Maltotetraose	False	[]	[]
cpd00254_medium	Mg	False	[]	['Peptostreptococcus_stomatis']
cpd04097_medium	Pb	False	[]	[]
cpd00185_medium	D-Arabinose	False	[]	[]
cpd15494_medium	Maltoheptaose	False	[]	[]
cpd00054_medium	L-Serine	True	['Peptostreptococcus_stomatis']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd11976_medium	Maltodextrin	False	[]	[]
cpd00153_medium	Benzoate	False	[]	[]
cpd00281_medium	GABA	False	['Methanobrevibacter_smithii']	[]
cpd00138_medium	D-Mannose	False	[]	[]
cpd01133_medium	Stachyose	False	[]	[]
cpd00180_medium	Oxalate	False	['Methanobrevibacter_smithii']	[]
cpd02733_medium	Deoxycholate	False	[]	[]
cpd01354_medium	beta-Lactose	False	[]	[]
cpd03808_medium	Lacto-N-biose	False	[]	[]
cpd00393_medium	Folate	False	[]	[]
cpd90008_medium	Maltotridecaose	False	[]	[]
cpd00001_medium	H2O	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd90005_medium	Maltooctaose	False	[]	[]
cpd90007_medium	Maltohexaose	False	[]	[]
cpd90006_medium	Maltoundecaose	False	[]	[]
cpd00013_medium	NH3	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00011_medium	CO2	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd00007_medium	O2	False	[]	[]
cpd01981_medium	5-Methylthio-D-ribose	False	['Peptostreptococcus_stomatis']	[]
cpd00141_medium	Propionate	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd00073_medium	Urea	False	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	[]
cpd01861_medium	(R)-1,2-Propanediol	False	[]	[]
cpd00453_medium	1,2-Propanediol	False	[]	[]
cpd00071_medium	Acetaldehyde	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00150_medium	HCN	False	[]	[]
cpd08021_medium	DMSO	False	[]	[]
cpd00450_medium	Methyl sulfide	False	[]	[]
cpd00363_medium	Ethanol	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00055_medium	Formaldehyde	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis']
cpd00448_medium	D-Glyceraldehyde	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00025_medium	H2O2	False	[]	[]
cpd00239_medium	H2S	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd11640_medium	H2	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd00359_medium	indol	False	['Methanobrevibacter_smithii']	[]
cpd00659_medium	Nitrous oxide	False	[]	[]
cpd00418_medium	NO	False	[]	[]
cpd00371_medium	Propanal	False	[]	[]
cpd00811_medium	(CH3)3NO	False	[]	[]
cpd00324_medium	MTTL	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd01024_medium	Methane	False	['Methanobrevibacter_smithii']	[]
cpd00204_medium	CO	False	[]	[]
cpd00116_medium	Methanol	True	['Peptostreptococcus_stomatis']	['Methanobrevibacter_smithii']
cpd00528_medium	N2	False	[]	[]
cpd11632_medium	hn	False	[]	[]
cpd03662_medium	n-Butanol	False	[]	[]
cpd00178_medium	Acetone	False	[]	[]
cpd01618_medium	1,3-Propanediol	False	[]	[]
cpd00211_medium	Butyrate	False	[]	[]
cpd27289_medium	indole-3-propionate	False	[]	[]
cpd03343_medium	Phenylpropanoate	False	[]	[]
cpd01202_medium	Phloretate	False	[]	[]
cpd00220_medium	Riboflavin	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis']
cpd00087_medium	Tetrahydrofolate	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00300_medium	Urate	False	['Peptostreptococcus_stomatis']	['Peptostreptococcus_stomatis']
cpd00322_medium	L-Isoleucine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00066_medium	L-Phenylalanine	False	[]	['Peptostreptococcus_stomatis']
cpd00065_medium	L-Tryptophan	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd03847_medium	Myristic acid	False	[]	[]
cpd01080_medium	ocdca	False	[]	['Peptostreptococcus_stomatis']
cpd00221_medium	D-Lactate	False	['Peptostreptococcus_stomatis']	[]
cpd00380_medium	Itaconate	False	[]	[]
cpd00159_medium	L-Lactate	False	[]	[]
cpd00105_medium	D-Ribose	True	['Peptostreptococcus_stomatis']	['Methanobrevibacter_smithii']
cpd00003_medium	NAD	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00010_medium	CoA	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00038_medium	GTP	False	['Peptostreptococcus_stomatis']	[]
cpd00092_medium	Uracil	True	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']
cpd00367_medium	Cytidine	True	['Methanobrevibacter_smithii']	['Peptostreptococcus_stomatis']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii']
cpd01663_medium	Chenodiol	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii']
cpd00526_medium	Cholate	False	['Methanobrevibacter_smithii']	[]
cpd00209_medium	Nitrate	False	[]	[]
cpd00266_medium	Carnitine	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd04098_medium	Arsenite	False	[]	[]
cpd00100_medium	Glycerol	False	['Methanobrevibacter_smithii']	[]
cpd00396_medium	L-Rhamnose	False	[]	[]
cpd01015_medium	Cyanate	False	[]	[]
cpd01107_medium	Decanoate	False	[]	[]
cpd01741_medium	ddca	False	[]	[]
cpd15298_medium	tetradecenoate	False	[]	[]
cpd00214_medium	Palmitate	False	[]	[]
cpd15237_medium	hexadecenoate	False	[]	[]
cpd15269_medium	octadecenoate	False	[]	[]
cpd01113_medium	Hexanoate	False	[]	[]
cpd03846_medium	octanoate	False	[]	[]
cpd11451_medium	mql7	False	[]	[]
cpd11606_medium	Menaquinone 7	False	[]	[]
cpd17026_medium	methymenaquinol 7	False	[]	[]
cpd17027_medium	methylmenaquinone 7	False	[]	[]
cpd02829_medium	3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate	False	['Methanobrevibacter_smithii']	[]
cpd35610_medium	3alpha-hydroxy-7-oxo-5beta-cholan-24-oate	False	['Methanobrevibacter_smithii']	[]
cpd11746_medium	Cellulose	False	[]	[]
cpd01376_medium	Cellotetraose	False	[]	[]
cpd90021_medium	Xylan-b-1-4	False	[]	[]
cpd90022_medium	Xylooligo-b-1-4	False	[]	[]
cpd03047_medium	Taurocholate	False	[]	['Methanobrevibacter_smithii']
cpd11416_medium	Community Biomass	False	['Peptostreptococcus_stomatis', 'Methanobrevibacter_smithii']	[]
