metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd01663_medium	Chenodiol	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii']
cpd00526_medium	Cholate	False	['Methanobrevibacter_smithii']	[]
cpd00009_medium	Phosphate	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00023_medium	L-Glutamate	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00028_medium	Heme	False	['Porphyromonas_asaccharolytica']	[]
cpd00030_medium	Mn2+	False	[]	['Porphyromonas_asaccharolytica']
cpd00034_medium	Zn2+	False	[]	['Porphyromonas_asaccharolytica']
cpd00039_medium	L-Lysine	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00041_medium	L-Aspartate	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00048_medium	Sulfate	False	[]	['Porphyromonas_asaccharolytica']
cpd00051_medium	L-Arginine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00053_medium	L-Glutamine	False	[]	[]
cpd00064_medium	Ornithine	False	[]	[]
cpd00073_medium	Urea	False	['Methanobrevibacter_smithii']	[]
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00108_medium	Galactose	False	[]	[]
cpd00119_medium	L-Histidine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00149_medium	Co2+	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00154_medium	Xylose	False	[]	[]
cpd00156_medium	L-Valine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00161_medium	L-Threonine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00179_medium	Maltose	False	[]	[]
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	False	['Methanobrevibacter_smithii']	[]
cpd00224_medium	L-Arabinose	False	[]	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00305_medium	Thiamin	False	['Porphyromonas_asaccharolytica']	['Porphyromonas_asaccharolytica']
cpd00322_medium	L-Isoleucine	False	[]	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['Porphyromonas_asaccharolytica']
cpd00067_medium	H+	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00092_medium	Uracil	False	['Methanobrevibacter_smithii']	[]
cpd00367_medium	Cytidine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Porphyromonas_asaccharolytica']
cpd00309_medium	XAN	False	['Methanobrevibacter_smithii']	[]
cpd00311_medium	Guanosine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00035_medium	L-Alanine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00971_medium	Na+	False	[]	[]
cpd00060_medium	L-Methionine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00104_medium	BIOT	False	[]	[]
cpd00220_medium	Riboflavin	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Porphyromonas_asaccharolytica']
cpd00084_medium	L-Cysteine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00644_medium	PAN	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00246_medium	Inosine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00182_medium	Adenosine	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00013_medium	NH3	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd04098_medium	Arsenite	False	[]	[]
cpd00063_medium	Ca2+	False	[]	['Porphyromonas_asaccharolytica']
cpd01012_medium	Cd2+	False	[]	[]
cpd00158_medium	CELB	False	[]	[]
cpd00058_medium	Cu2+	False	[]	['Porphyromonas_asaccharolytica']
cpd00363_medium	Ethanol	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd10515_medium	Fe2+	False	[]	['Porphyromonas_asaccharolytica']
cpd00047_medium	Formate	False	['Methanobrevibacter_smithii']	[]
cpd00082_medium	D-Fructose	True	['Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00106_medium	Fumarate	True	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']	['Methanobrevibacter_smithii', 'Porphyromonas_asaccharolytica']
cpd00281_medium	GABA	True	['Methanobrevibacter_smithii']	['Porphyromonas_asaccharolytica']
