metabolite_id	metabolite_name	cross_feeding	produced_by	consumed_by
cpd00001_medium	H2O	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd03247_medium	Glycochenodeoxycholate	False	[]	['Methanobrevibacter_smithii']
cpd00033_medium	Glycine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd01663_medium	Chenodiol	False	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii']
cpd01318_medium	Glycocholate	False	[]	['Methanobrevibacter_smithii']
cpd00526_medium	Cholate	True	['Methanobrevibacter_smithii']	['Segatella_copri']
cpd00009_medium	Phosphate	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00023_medium	L-Glutamate	True	['Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00027_medium	D-Glucose	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00028_medium	Heme	False	['Segatella_copri']	[]
cpd00030_medium	Mn2+	False	[]	['Segatella_copri']
cpd00034_medium	Zn2+	False	[]	['Segatella_copri']
cpd00039_medium	L-Lysine	True	['Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00041_medium	L-Aspartate	True	['Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00048_medium	Sulfate	False	[]	['Segatella_copri']
cpd00051_medium	L-Arginine	True	['Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00053_medium	L-Glutamine	True	['Segatella_copri']	['Methanobrevibacter_smithii']
cpd00064_medium	Ornithine	True	['Segatella_copri']	['Methanobrevibacter_smithii']
cpd00073_medium	Urea	False	['Methanobrevibacter_smithii']	[]
cpd00098_medium	Choline	False	[]	[]
cpd00105_medium	D-Ribose	True	['Segatella_copri']	['Methanobrevibacter_smithii']
cpd00107_medium	L-Leucine	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00108_medium	Galactose	False	['Segatella_copri']	['Segatella_copri']
cpd00119_medium	L-Histidine	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00129_medium	L-Proline	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00149_medium	Co2+	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00154_medium	Xylose	False	['Segatella_copri']	[]
cpd00156_medium	L-Valine	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00161_medium	L-Threonine	True	['Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00179_medium	Maltose	False	[]	['Segatella_copri']
cpd00209_medium	Nitrate	False	[]	[]
cpd00210_medium	Taurine	False	['Methanobrevibacter_smithii']	[]
cpd00224_medium	L-Arabinose	False	['Segatella_copri']	[]
cpd00244_medium	Ni2+	False	[]	['Methanobrevibacter_smithii']
cpd00305_medium	Thiamin	False	[]	['Segatella_copri']
cpd00322_medium	L-Isoleucine	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00266_medium	Carnitine	False	[]	[]
cpd00540_medium	BET	False	[]	[]
cpd03424_medium	Vitamin B12	False	[]	[]
cpd08305_medium	crotonobetaine	False	[]	[]
cpd10516_medium	fe3	False	[]	['Segatella_copri']
cpd00067_medium	H+	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00092_medium	Uracil	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00367_medium	Cytidine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Segatella_copri']
cpd00309_medium	XAN	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00311_medium	Guanosine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00035_medium	L-Alanine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00971_medium	Na+	False	[]	[]
cpd00060_medium	L-Methionine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00104_medium	BIOT	False	[]	[]
cpd00220_medium	Riboflavin	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Segatella_copri']
cpd00084_medium	L-Cysteine	True	['Methanobrevibacter_smithii', 'Segatella_copri']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00069_medium	L-Tyrosine	True	['Methanobrevibacter_smithii']	['Methanobrevibacter_smithii', 'Segatella_copri']
cpd00644_medium	PAN	False	[]	['Methanobrevibacter_smithii', 'Segatella_copri']
