# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	27.354	2.87e-17	77.4	82	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	417655	418305	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	27.734	3.18e-16	75.1	86	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	417646	418356	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	33.333	7.4	18.9	87	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	1671653	1671573	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	33.333	7.4	18.9	87	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	1671653	1671573	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	23.529	2.8	23.5	78	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	308297	308533	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	26.829	7.50e-11	58.2	83	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	352589	353308	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	23.345	1.97e-07	47.8	97	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	352532	353362	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	32.857	6.40e-33	124	97	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	352550	353359	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	25.357	6.03e-12	62.0	86	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	352538	353362	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.104	7.90e-18	79.7	94	LS483440.1 Gemella morbillorum strain NCTC11323 genome assembly, chromosome: 1	352469	353362	transporter
