# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.915	1.08e-18	82.4	87	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	467210	467908	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	35.268	2.55e-29	112	85	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2615791	2616456	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	23.881	6.92e-10	55.5	85	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	306951	306358	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	23.830	1.65e-10	58.2	81	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	306975	306295	transporter
gnl|TC-DB|P72604|1.A.30.2.10	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P72604|1.A.30.2.10	26.816	2.11e-05	41.6	83	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1592797	1593333	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	23.288	3.9	22.7	77	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2220018	2219800	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	23.288	3.9	22.7	77	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2220018	2219800	transporter
gnl|TC-DB|Q9PHZ4|1.A.43.1.11	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9PHZ4|1.A.43.1.11	37.374	1.37e-12	59.7	81	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2497792	2497496	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	36.000	6.8	19.6	81	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1036371	1036445	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	36.000	6.8	19.6	81	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1036371	1036445	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	31.527	6.15e-12	60.8	96	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1233033	1233629	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	31.527	6.15e-12	60.8	96	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1233033	1233629	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	24.242	4.03e-20	90.9	91	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	147640	148857	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	24.490	1.6	22.7	95	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2356237	2356383	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	8.7	17.7	93	AP021899.1 Akkermansia muciniphila JCM 30893 plasmid pJ30893 DNA, complete sequence	30488	30447	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	42.857	8.7	17.7	93	AP021899.1 Akkermansia muciniphila JCM 30893 plasmid pJ30893 DNA, complete sequence	30488	30447	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	27.562	8.92e-22	92.4	93	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1453248	1454027	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	27.108	8.30e-17	74.3	83	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	36377	36874	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	28.090	6.57e-15	68.9	89	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	36377	36910	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	24.211	3.66e-06	43.1	95	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	36383	36952	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	25.000	1.09e-06	44.7	95	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	36383	36955	transporter
gnl|TC-DB|P38993|2.A.108.1.1	2.A.108.1.1	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P38993|2.A.108.1.1	24.779	1.46e-27	115	78	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2427042	2425456	transporter
gnl|TC-DB|P38993|2.A.108.1.1	2.A.108.1.1	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P38993|2.A.108.1.1	24.779	1.46e-27	115	78	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	2427042	2425456	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.123	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AIU41385.1|2.A.1.1.123	24.623	1.66e-22	98.6	75	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	540956	539829	transporter
foo|unknown|BF638R_1718|2.A.1.12.1	2.A.1.12.1	N-Acetylneuraminate	EX_cpd00232_e0	rxn05487,rxn08050	foo|unknown|BF638R_1718|2.A.1.12.1	36.562	1.52e-72	244	92	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1786265	1785045	transporter
foo|unknown|BF638R_1718|2.A.1.12.1	2.A.1.12.1	sialic acid	EX_cpd00232_e0	rxn05487,rxn08050	foo|unknown|BF638R_1718|2.A.1.12.1	36.562	1.52e-72	244	92	AP021898.1 Akkermansia muciniphila JCM 30893 DNA, complete genome	1786265	1785045	transporter
