# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	31.081	0.81	24.3	78	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	410388	410209	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	26.538	2.22e-05	42.0	75	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	1335230	1335961	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	25.743	2.05e-14	68.9	77	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	1064155	1064760	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	29.825	5.1	21.2	80	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	598422	598276	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	29.825	5.1	21.2	80	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	598422	598276	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	53.333	7.5	17.3	100	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	670265	670309	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	53.333	7.5	17.3	100	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	670265	670309	transporter
gnl|TC-DB|Q84VZ9|2.A.105.1.4	2.A.105.1.4	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q84VZ9|2.A.105.1.4	26.087	6.0	23.1	76	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	999532	999242	transporter
gnl|TC-DB|K3SRD7|2.A.108.2.10	2.A.108.2.10	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|K3SRD7|2.A.108.2.10	39.394	1.06e-28	107	86	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	63397	62909	transporter
gnl|TC-DB|K3SRD7|2.A.108.2.10	2.A.108.2.10	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|K3SRD7|2.A.108.2.10	39.394	1.06e-28	107	86	LR134472.1 Parvimonas micra strain NCTC11808 genome assembly, chromosome: 1	63397	62909	transporter
