# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	21.739	7.3	21.9	80	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1295575	1295369	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	27.619	1.69e-13	67.0	94	CP019301.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome II, complete sequence	354779	354150	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	28.856	3.16e-12	62.4	79	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1890519	1889929	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	30.045	1.52e-13	67.4	75	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1890585	1889956	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	45.833	3.3	20.4	77	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1038597	1038526	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	45.833	3.3	20.4	77	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1038597	1038526	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	29.268	3.41e-09	52.8	98	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1533328	1533927	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	29.268	3.41e-09	52.8	98	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	1533328	1533927	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	26.923	0.084	26.2	90	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	476812	476657	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	23.005	2.65e-10	59.7	88	CP019300.1 Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611 chromosome I, complete sequence	915200	913995	transporter
