# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	24.752	0.93	25.0	95	FP929055.1 Ruminococcus torques L2-14 draft genome	1087855	1088139	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.863	1.51e-19	85.1	76	FP929055.1 Ruminococcus torques L2-14 draft genome	1039973	1039371	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	32.287	5.99e-22	91.7	86	FP929055.1 Ruminococcus torques L2-14 draft genome	1908287	1907628	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	27.128	2.87e-10	56.6	80	FP929055.1 Ruminococcus torques L2-14 draft genome	1908284	1907766	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	41.667	7.9	19.6	77	FP929055.1 Ruminococcus torques L2-14 draft genome	1596290	1596219	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	41.667	7.9	19.6	77	FP929055.1 Ruminococcus torques L2-14 draft genome	1596290	1596219	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	29.048	1.35e-10	57.0	96	FP929055.1 Ruminococcus torques L2-14 draft genome	6630	6016	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	29.048	1.35e-10	57.0	96	FP929055.1 Ruminococcus torques L2-14 draft genome	6630	6016	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	34.043	1.0	23.5	81	FP929055.1 Ruminococcus torques L2-14 draft genome	2890447	2890310	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	31.250	0.22	25.0	88	FP929055.1 Ruminococcus torques L2-14 draft genome	1583206	1583063	transporter
