# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	34.615	5.4	19.2	84	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	27270	27193	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	34.615	5.4	19.2	84	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	27270	27193	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	28.571	3.40e-16	72.4	97	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	446414	446989	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	34.389	2.05e-19	83.6	80	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037373	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	32.569	4.84e-19	82.4	80	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037373	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.515	1.56e-13	67.0	76	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038011	1037385	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	60.082	6.36e-43	151	98	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038020	1037301	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	55.187	1.48e-53	182	98	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037301	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	33.333	3.71e-23	93.2	89	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037376	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	26.190	2.36e-10	56.6	79	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038008	1037403	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	24.880	5.31e-08	49.3	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037415	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	27.053	1.23e-10	57.0	82	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038008	1037415	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	30.660	3.70e-16	73.9	82	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038011	1037403	transporter
gnl|TC-DB|B5L019|1.A.8.8.15	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|B5L019|1.A.8.8.15	34.545	2.41e-24	98.2	76	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037373	transporter
gnl|TC-DB|Q6IRR9|1.A.8.9.12	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6IRR9|1.A.8.9.12	30.126	1.19e-17	79.3	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038014	1037367	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	24.153	5.00e-11	59.7	76	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038020	1037382	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	25.738	2.19e-09	54.3	76	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1038020	1037382	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	28.571	1.9	21.9	80	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1135794	1135648	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	64.286	2.5	18.9	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	176951	176992	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	64.286	2.5	18.9	93	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	176951	176992	transporter
gnl|TC-DB|Q4N4U8|2.A.105.1.6	2.A.105.1.6	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q4N4U8|2.A.105.1.6	22.667	3.0	23.1	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1390047	1390214	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	37.255	1.06e-22	90.9	81	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	23641	23192	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	47.333	2.28e-41	144	80	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	23641	23192	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	32.692	8.67e-19	79.3	83	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	23641	23174	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	33.544	5.06e-20	83.2	84	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	23641	23168	transporter
sp|P32369|BAIG_CLOSV|2.A.1.3.13	2.A.1.3.13	Chenodeoxycholate	EX_cpd01663_e0	rxn40935	sp|P32369|BAIG_CLOSV|2.A.1.3.13	22.281	1.25e-12	66.6	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484368	1483280	transporter
sp|P32369|BAIG_CLOSV|2.A.1.3.13	2.A.1.3.13	Cholate	EX_cpd00526_e0	rxn47305	sp|P32369|BAIG_CLOSV|2.A.1.3.13	22.281	1.25e-12	66.6	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484368	1483280	transporter
sp|P32369|BAIG_CLOSV|2.A.1.3.13	2.A.1.3.13	Deoxycholate	EX_cpd02733_e0	rxn43262	sp|P32369|BAIG_CLOSV|2.A.1.3.13	22.281	1.25e-12	66.6	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484368	1483280	transporter
sp|P32369|BAIG_CLOSV|2.A.1.3.13	2.A.1.3.13	Lithocholate	EX_cpd02475_e0	rxn90083	sp|P32369|BAIG_CLOSV|2.A.1.3.13	22.281	1.25e-12	66.6	77	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1484368	1483280	transporter
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	arginine	EX_cpd00051_e0	rxn05303,rxn08154,rxn09783,rxn12437,rxn13228,rxn30457,rxn10840,rxn33718	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	deoxycholate	EX_cpd02733_e0	rxn43262	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
gnl|TC-DB|Q93AT6|2.A.1.3.21	2.A.1.3.2	histidine	EX_cpd00119_e0	rxn05299,rxn08719,rxn09744,rxn13314,rxn34384	gnl|TC-DB|Q93AT6|2.A.1.3.21	22.946	1.11e-20	91.3	85	NC_009515.1 Methanobrevibacter smithii ATCC 35061, complete sequence	1490967	1489927	transporter
