# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	99.855	0.0	1059	100	CP001969.1 Escherichia coli IHE3034, complete genome	2027196	2025121	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	98.801	0.0	786	100	CP001969.1 Escherichia coli IHE3034, complete genome	1428378	1427128	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	2.81e-20	87.8	82	CP001969.1 Escherichia coli IHE3034, complete genome	526375	525800	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.862	1.32e-08	53.1	80	CP001969.1 Escherichia coli IHE3034, complete genome	4926517	4925852	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100.000	9.00e-143	437	100	CP001969.1 Escherichia coli IHE3034, complete genome	3740163	3739528	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	89.860	0.0	914	99	CP001969.1 Escherichia coli IHE3034, complete genome	2598579	2596864	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	99.464	0.0	2137	100	CP001969.1 Escherichia coli IHE3034, complete genome	489951	493310	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	99.464	0.0	2137	100	CP001969.1 Escherichia coli IHE3034, complete genome	489951	493310	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	99.730	0.0	1329	100	CP001969.1 Escherichia coli IHE3034, complete genome	844973	842751	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	99.730	0.0	1329	100	CP001969.1 Escherichia coli IHE3034, complete genome	844973	842751	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	99.125	0.0	640	100	CP001969.1 Escherichia coli IHE3034, complete genome	1560081	1559053	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	26.415	4.0	22.7	79	CP001969.1 Escherichia coli IHE3034, complete genome	3765444	3765286	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	26.415	4.0	22.7	79	CP001969.1 Escherichia coli IHE3034, complete genome	3765444	3765286	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	23.529	2.60e-08	52.8	93	CP001969.1 Escherichia coli IHE3034, complete genome	2036988	2036257	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	89.644	2.79e-177	541	100	CP001969.1 Escherichia coli IHE3034, complete genome	2037033	2036110	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	99.590	8.67e-161	490	100	CP001969.1 Escherichia coli IHE3034, complete genome	3515641	3514910	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	99.130	6.23e-152	464	100	CP001969.1 Escherichia coli IHE3034, complete genome	775572	776261	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	97.638	2.20e-68	220	100	CP001969.1 Escherichia coli IHE3034, complete genome	677062	676682	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.738	2.99e-110	348	100	CP001969.1 Escherichia coli IHE3034, complete genome	1702800	1701889	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.82e-19	82.4	96	CP001969.1 Escherichia coli IHE3034, complete genome	183361	182768	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.82e-19	82.4	96	CP001969.1 Escherichia coli IHE3034, complete genome	183361	182768	transporter
gnl|TC-DB|Q66I64|1.A.8.10.16	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q66I64|1.A.8.10.16	30.435	2.83e-15	72.8	88	CP001969.1 Escherichia coli IHE3034, complete genome	913565	912882	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.273	8.70e-16	73.9	84	CP001969.1 Escherichia coli IHE3034, complete genome	913520	912882	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	31.356	3.42e-11	60.5	87	CP001969.1 Escherichia coli IHE3034, complete genome	913559	912882	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100.000	1.39e-171	523	100	CP001969.1 Escherichia coli IHE3034, complete genome	4507210	4506368	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	39.269	9.35e-30	115	84	CP001969.1 Escherichia coli IHE3034, complete genome	913538	912885	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.268	5.14e-16	75.9	75	CP001969.1 Escherichia coli IHE3034, complete genome	4507183	4506449	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.321	8.75e-16	73.9	84	CP001969.1 Escherichia coli IHE3034, complete genome	913502	912939	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.333	3.24e-24	98.6	99	CP001969.1 Escherichia coli IHE3034, complete genome	4507195	4506440	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	38.889	1.60e-18	81.3	97	CP001969.1 Escherichia coli IHE3034, complete genome	913502	912885	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	38.362	1.58e-31	120	78	CP001969.1 Escherichia coli IHE3034, complete genome	4507120	4506434	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	26.613	6.63e-08	51.2	84	CP001969.1 Escherichia coli IHE3034, complete genome	4507210	4506575	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	30.078	8.41e-12	62.0	95	CP001969.1 Escherichia coli IHE3034, complete genome	4507177	4506461	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	31.148	7.61e-20	85.9	95	CP001969.1 Escherichia coli IHE3034, complete genome	4507183	4506464	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	36.538	6.68e-18	80.1	81	CP001969.1 Escherichia coli IHE3034, complete genome	4507177	4506575	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	34.466	3.90e-15	72.0	80	CP001969.1 Escherichia coli IHE3034, complete genome	4507183	4506575	transporter
