# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.514	9.28e-12	62.0	87	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	3978858	3979541	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.057	8.99e-53	180	90	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	3978864	3979496	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	46.642	1.24e-63	213	97	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	3978693	3979493	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	32.407	1.58e-27	109	77	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	3978861	3979505	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	46.862	7.65e-127	408	82	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	4004551	4005954	transporter
gnl|TC-DB|Q9PHZ4|1.A.43.1.11	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9PHZ4|1.A.43.1.11	36.275	3.64e-11	56.6	80	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	1414884	1414585	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	34.343	1.02e-12	63.9	95	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	2276636	2277214	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	34.343	1.02e-12	63.9	95	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	2276636	2277214	transporter
gnl|TC-DB|Q8G8W9|1.B.14.1.26	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8G8W9|1.B.14.1.26	24.963	2.49e-33	136	81	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	22554	20632	transporter
gnl|TC-DB|P05825|1.B.14.1.22	1.B.14.1.22	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P05825|1.B.14.1.22	21.640	4.21e-13	70.9	93	CR626927.1 Bacteroides fragilis NCTC 9343, complete genome	1281737	1279770	transporter
