# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	24.670	5.92e-07	46.2	90	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	2003248	2002592	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	22.266	3.43e-05	41.2	83	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	2003416	2002694	transporter
gnl|TC-DB|Q9PHZ4|1.A.43.1.11	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9PHZ4|1.A.43.1.11	38.525	1.03e-17	73.9	100	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1480046	1480402	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	43.333	0.32	22.7	94	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	505326	505415	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	43.333	0.32	22.7	94	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	505326	505415	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	29.000	3.86e-15	69.7	96	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	366853	367440	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	29.000	3.86e-15	69.7	96	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	366853	367440	transporter
gnl|TC-DB|P05825|1.B.14.1.22	1.B.14.1.22	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P05825|1.B.14.1.22	20.202	8.78e-09	55.5	75	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1793969	1795507	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	27.869	1.8	22.3	88	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	677603	677779	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	6.8	17.7	80	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1868761	1868726	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	6.8	17.7	80	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1868761	1868726	transporter
gnl|TC-DB|P0AAS9|2.A.114.1.1	2.A.114.1.1	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P0AAS9|2.A.114.1.1	30.000	1.8	22.7	77	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	932194	932069	transporter
gnl|TC-DB|WP_078577287.1|2.A.131.1.2	2.A.131.1.2	sulfite	EX_cpd00081_e0	rxn10604	gnl|TC-DB|WP_078577287.1|2.A.131.1.2	28.571	2.59e-20	86.3	90	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1773350	1774021	transporter
gnl|TC-DB|WP_123898938.1|2.A.131.1.5	2.A.131.1.5	sulfite	EX_cpd00081_e0	rxn10604	gnl|TC-DB|WP_123898938.1|2.A.131.1.5	50.638	2.19e-60	201	98	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	1773320	1774018	transporter
gnl|TC-DB|A8UT57|2.A.1.59.4	2.A.1.59.4	GTP	EX_cpd00038_e0	rxn29736,rxn29868	gnl|TC-DB|A8UT57|2.A.1.59.4	35.920	2.08e-43	158	86	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	840153	841190	transporter
gnl|TC-DB|A1S5F4|2.A.1.7.10	2.A.1.7.10	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|A1S5F4|2.A.1.7.10	30.198	5.62e-36	137	91	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	477245	478435	transporter
gnl|TC-DB|A1S297|2.A.1.7.11	2.A.1.7.11	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|A1S297|2.A.1.7.11	33.010	2.83e-48	172	98	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	477221	478438	transporter
gnl|TC-DB|Q8A6W8|2.A.1.7.17	2.A.1.7.17	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|Q8A6W8|2.A.1.7.17	24.038	1.16e-10	59.7	78	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	477500	478408	transporter
gnl|TC-DB|Q89YS8|2.A.1.7.18	2.A.1.7.18	D-glucosamine	EX_cpd00276_e0	rxn12526	gnl|TC-DB|Q89YS8|2.A.1.7.18	25.127	2.08e-10	59.3	87	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	477242	478342	transporter
gnl|TC-DB|P0C105|2.A.1.7.2	2.A.1.7.2	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P0C105|2.A.1.7.2	29.812	4.26e-40	149	97	CP002689.1 Porphyromonas asaccharolytica DSM 20707, complete genome	477179	478426	transporter
