# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	21.538	9.4	21.9	76	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	694480	694307	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	34.400	6.40e-23	94.7	94	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	280826	280098	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	30.279	5.64e-19	84.0	83	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	281669	280938	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	23.922	3.05e-12	63.5	91	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	1668078	1668803	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	31.401	5.71e-13	63.9	95	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	1320571	1321179	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	31.401	5.71e-13	63.9	95	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	1320571	1321179	transporter
gnl|TC-DB|I0K9D5|1.A.78.2.1	1.A.78.2.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|I0K9D5|1.A.78.2.1	29.091	4.71e-12	61.2	79	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	2209312	2208842	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	46.040	4.45e-43	150	98	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	2209306	2208728	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	30.088	1.04e-13	67.4	85	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	2228982	2228323	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	30.328	1.79e-18	81.3	90	CP029256.1 Christensenella minuta strain DSM 22607 chromosome, complete genome	2228982	2228287	transporter
