# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2024-11-21)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	28.992	4.42e-16	73.9	87	ADGQ01000074.1 Peptostreptococcus stomatis DSM 17678 contig00005, whole genome shotgun sequence	27442	26756	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	30.645	5.3	21.2	94	ADGQ01000029.1 Peptostreptococcus stomatis DSM 17678 contig00015, whole genome shotgun sequence	1616	1756	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	30.645	5.3	21.2	94	ADGQ01000029.1 Peptostreptococcus stomatis DSM 17678 contig00015, whole genome shotgun sequence	1616	1756	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	27.007	6.09e-04	34.7	91	ADGQ01000001.1 Peptostreptococcus stomatis DSM 17678 contig00033, whole genome shotgun sequence	31127	30723	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	32.143	2.7	20.0	90	ADGQ01000035.1 Peptostreptococcus stomatis DSM 17678 contig00045, whole genome shotgun sequence	20350	20433	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	32.143	2.7	20.0	90	ADGQ01000035.1 Peptostreptococcus stomatis DSM 17678 contig00045, whole genome shotgun sequence	20350	20433	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	30.198	2.58e-14	67.4	93	ADGQ01000032.1 Peptostreptococcus stomatis DSM 17678 contig00056, whole genome shotgun sequence	26148	25543	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	30.198	2.58e-14	67.4	93	ADGQ01000032.1 Peptostreptococcus stomatis DSM 17678 contig00056, whole genome shotgun sequence	26148	25543	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	57.143	1.0	20.0	93	ADGQ01000018.1 Peptostreptococcus stomatis DSM 17678 contig00035, whole genome shotgun sequence	32918	32959	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	57.143	1.0	20.0	93	ADGQ01000018.1 Peptostreptococcus stomatis DSM 17678 contig00035, whole genome shotgun sequence	32918	32959	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	29.502	9.59e-26	103	85	ADGQ01000066.1 Peptostreptococcus stomatis DSM 17678 contig00051, whole genome shotgun sequence	8208	7441	transporter
gnl|TC-DB|Q949R9|2.A.105.1.4	2.A.105.1.4	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q949R9|2.A.105.1.4	23.913	5.3	22.7	80	ADGQ01000056.1 Peptostreptococcus stomatis DSM 17678 contig00079, whole genome shotgun sequence	106453	106728	transporter
gnl|TC-DB|J6H8T7|2.A.120.1.12	2.A.120.1.12	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|TC-DB|J6H8T7|2.A.120.1.12	22.581	1.41e-04	40.0	92	ADGQ01000041.1 Peptostreptococcus stomatis DSM 17678 contig00070, whole genome shotgun sequence	1735	2739	transporter
gnl|TC-DB|J6H8T7|2.A.120.1.12	2.A.120.1.12	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|J6H8T7|2.A.120.1.12	22.581	1.41e-04	40.0	92	ADGQ01000041.1 Peptostreptococcus stomatis DSM 17678 contig00070, whole genome shotgun sequence	1735	2739	transporter
